fwer,sensitivity,sm_sigma,snr,n_subj,method
0.0,0.0,0.0,0.0,2,clusterwise_perm
0.0,0.0,0.0,0.1,2,clusterwise_perm
0.0,0.0,0.0,0.25,2,clusterwise_perm
0.0,0.0,0.0,0.5,2,clusterwise_perm
0.0,0.0,0.0,0.75,2,clusterwise_perm
0.0,0.0,0.0,1.0,2,clusterwise_perm
0.0,0.0,0.0,1.25,2,clusterwise_perm
0.0,0.0,0.0,1.5,2,clusterwise_perm
0.0,0.0,0.0,1.75,2,clusterwise_perm
0.0,0.0,0.0,2.0,2,clusterwise_perm
0.0,0.0,0.0,2.25,2,clusterwise_perm
0.0,0.0,0.0,2.5,2,clusterwise_perm
0.0,0.0,0.0,2.75,2,clusterwise_perm
0.0,0.0,0.0,3.0,2,clusterwise_perm
0.005,0.0,0.0,0.0,5,clusterwise_perm
0.0,0.0,0.0,0.1,5,clusterwise_perm
0.005,0.0,0.0,0.25,5,clusterwise_perm
0.01,0.0,0.0,0.5,5,clusterwise_perm
0.01,0.0002654867256637,0.0,0.75,5,clusterwise_perm
0.02,0.0016814159292035,0.0,1.0,5,clusterwise_perm
0.015,0.0036725663716814,0.0,1.25,5,clusterwise_perm
0.005,0.0080973451327433,0.0,1.5,5,clusterwise_perm
0.01,0.0188938053097345,0.0,1.75,5,clusterwise_perm
0.02,0.0428761061946902,0.0,2.0,5,clusterwise_perm
0.03,0.0656637168141592,0.0,2.25,5,clusterwise_perm
0.02,0.0899115044247787,0.0,2.5,5,clusterwise_perm
0.025,0.1353539823008849,0.0,2.75,5,clusterwise_perm
0.02,0.1698230088495575,0.0,3.0,5,clusterwise_perm
0.025,0.0,0.0,0.0,7,clusterwise_perm
0.035,0.0,0.0,0.1,7,clusterwise_perm
0.025,0.0,0.0,0.25,7,clusterwise_perm
0.01,0.0001769911504424,0.0,0.5,7,clusterwise_perm
0.015,0.0046902654867256,0.0,0.75,7,clusterwise_perm
0.025,0.0176106194690265,0.0,1.0,7,clusterwise_perm
0.03,0.0688053097345132,0.0,1.25,7,clusterwise_perm
0.03,0.1800442477876106,0.0,1.5,7,clusterwise_perm
0.04,0.3338053097345133,0.0,1.75,7,clusterwise_perm
0.07,0.5205309734513274,0.0,2.0,7,clusterwise_perm
0.09,0.659424778761062,0.0,2.25,7,clusterwise_perm
0.11,0.7815486725663717,0.0,2.5,7,clusterwise_perm
0.05,0.8493362831858406,0.0,2.75,7,clusterwise_perm
0.08,0.9136725663716814,0.0,3.0,7,clusterwise_perm
0.025,0.0,0.0,0.0,10,clusterwise_perm
0.025,0.0,0.0,0.1,10,clusterwise_perm
0.02,0.0001769911504424,0.0,0.25,10,clusterwise_perm
0.02,0.0020353982300884,0.0,0.5,10,clusterwise_perm
0.045,0.0239823008849557,0.0,0.75,10,clusterwise_perm
0.025,0.1259734513274336,0.0,1.0,10,clusterwise_perm
0.06,0.368141592920354,0.0,1.25,10,clusterwise_perm
0.06,0.6258849557522124,0.0,1.5,10,clusterwise_perm
0.09,0.8226991150442476,0.0,1.75,10,clusterwise_perm
0.095,0.93141592920354,0.0,2.0,10,clusterwise_perm
0.11,0.9779203539823008,0.0,2.25,10,clusterwise_perm
0.085,0.9938053097345132,0.0,2.5,10,clusterwise_perm
0.06,0.9985840707964602,0.0,2.75,10,clusterwise_perm
0.05,0.9997345132743364,0.0,3.0,10,clusterwise_perm
0.01,0.0,0.0,0.0,15,clusterwise_perm
0.03,0.0,0.0,0.1,15,clusterwise_perm
0.04,0.000575221238938,0.0,0.25,15,clusterwise_perm
0.015,0.0140265486725663,0.0,0.5,15,clusterwise_perm
0.025,0.1529646017699115,0.0,0.75,15,clusterwise_perm
0.06,0.503141592920354,0.0,1.0,15,clusterwise_perm
0.07,0.8136283185840708,0.0,1.25,15,clusterwise_perm
0.07,0.9549557522123894,0.0,1.5,15,clusterwise_perm
0.135,0.99358407079646,0.0,1.75,15,clusterwise_perm
0.095,0.9992035398230088,0.0,2.0,15,clusterwise_perm
0.065,1.0,0.0,2.25,15,clusterwise_perm
0.115,1.0,0.0,2.5,15,clusterwise_perm
0.095,1.0,0.0,2.75,15,clusterwise_perm
0.09,1.0,0.0,3.0,15,clusterwise_perm
0.01,0.0,0.0,0.0,20,clusterwise_perm
0.025,0.0,0.0,0.1,20,clusterwise_perm
0.025,0.0009734513274336,0.0,0.25,20,clusterwise_perm
0.035,0.0445575221238938,0.0,0.5,20,clusterwise_perm
0.06,0.3576106194690265,0.0,0.75,20,clusterwise_perm
