fwer,sensitivity,sm_sigma,snr,n_subj,method
0.0,0.0,2.5,0.0,2,clusterwise_perm
0.0,0.0,2.5,0.1,2,clusterwise_perm
0.0,0.0,2.5,0.25,2,clusterwise_perm
0.0,0.0,2.5,0.5,2,clusterwise_perm
0.0,0.0,2.5,0.75,2,clusterwise_perm
0.0,0.0,2.5,1.0,2,clusterwise_perm
0.0,0.0,2.5,1.25,2,clusterwise_perm
0.0,0.0,2.5,1.5,2,clusterwise_perm
0.0,0.0,2.5,1.75,2,clusterwise_perm
0.0,0.0,2.5,2.0,2,clusterwise_perm
0.0,0.0,2.5,2.25,2,clusterwise_perm
0.0,0.0,2.5,2.5,2,clusterwise_perm
0.0,0.0,2.5,2.75,2,clusterwise_perm
0.0,0.0,2.5,3.0,2,clusterwise_perm
0.03,0.0,2.5,0.0,5,clusterwise_perm
0.03,0.0005347593582887701,2.5,0.1,5,clusterwise_perm
0.03,0.008404634581105169,2.5,0.25,5,clusterwise_perm
0.01,0.044884135472370766,2.5,0.5,5,clusterwise_perm
0.015,0.0870409982174688,2.5,0.75,5,clusterwise_perm
0.025,0.09520499108734404,2.5,1.0,5,clusterwise_perm
0.02,0.1118270944741533,2.5,1.25,5,clusterwise_perm
0.025,0.10909090909090909,2.5,1.5,5,clusterwise_perm
0.025,0.14340463458110517,2.5,1.75,5,clusterwise_perm
0.025,0.16237967914438503,2.5,2.0,5,clusterwise_perm
0.035,0.1494830659536542,2.5,2.25,5,clusterwise_perm
0.015,0.15123885918003566,2.5,2.5,5,clusterwise_perm
0.02,0.15792335115864528,2.5,2.75,5,clusterwise_perm
0.05,0.15623885918003563,2.5,3.0,5,clusterwise_perm
0.05,8.9126559714795e-05,2.5,0.0,7,clusterwise_perm
0.045,0.0025044563279857397,2.5,0.1,7,clusterwise_perm
0.03,0.06052584670231729,2.5,0.25,7,clusterwise_perm
0.035,0.19913547237076648,2.5,0.5,7,clusterwise_perm
0.03,0.26687165775401067,2.5,0.75,7,clusterwise_perm
0.07,0.311541889483066,2.5,1.0,7,clusterwise_perm
0.065,0.34123885918003566,2.5,1.25,7,clusterwise_perm
0.065,0.37305704099821746,2.5,1.5,7,clusterwise_perm
0.085,0.39682709447415326,2.5,1.75,7,clusterwise_perm
