FWER,sensitivity,sm_sigma,snr,n_subj,method,threshold_u,FWHM
0,0,0,0,2,Clusterwise RFT,3,3.324681423
0,0,0,0,5,Clusterwise RFT,3,3.324246279
0,0,0,0,7,Clusterwise RFT,3,3.331248864
0,0,0,0,10,Clusterwise RFT,3,3.324858841
0,0,0,0,15,Clusterwise RFT,3,3.324717551
0,0,0,0,20,Clusterwise RFT,3,3.33318804
0,0,0,0,30,Clusterwise RFT,3,3.333363809
0,0,0,0,45,Clusterwise RFT,3,3.33107561
0,0,0,0,60,Clusterwise RFT,3,3.331350152
0,0,0,0.1,2,Clusterwise RFT,3,3.319014682
0,0,0,0.1,5,Clusterwise RFT,3,3.329059516
0,0,0,0.1,7,Clusterwise RFT,3,3.32643487
0,0,0,0.1,10,Clusterwise RFT,3,3.324362715
0,0,0,0.1,15,Clusterwise RFT,3,3.331030796
0,0,0,0.1,20,Clusterwise RFT,3,3.335615952
0,0,0,0.1,30,Clusterwise RFT,3,3.327954163
0,0,0,0.1,45,Clusterwise RFT,3,3.32797107
0,0,0,0.1,60,Clusterwise RFT,3,3.329507361
0,0,0,0.25,2,Clusterwise RFT,3,3.357011997
0,0,0,0.25,5,Clusterwise RFT,3,3.307060083
0,0,0,0.25,7,Clusterwise RFT,3,3.344984494
0,0,0,0.25,10,Clusterwise RFT,3,3.324992949
0,0,0,0.25,15,Clusterwise RFT,3,3.332521816
0,0,0,0.25,20,Clusterwise RFT,3,3.324577691
0,0,0,0.25,30,Clusterwise RFT,3,3.329672993
0.008,0.001557522,0,0.25,45,Clusterwise RFT,3,3.333943905
0,0.012495575,0,0.25,60,Clusterwise RFT,3,3.330003592
0,0,0,0.5,2,Clusterwise RFT,3,3.328227048
0,0,0,0.5,5,Clusterwise RFT,3,3.353160557
0,0,0,0.5,7,Clusterwise RFT,3,3.325460987
0,0,0,0.5,10,Clusterwise RFT,3,3.328199563
0,0.001946903,0,0.5,15,Clusterwise RFT,3,3.325466892
0.004,0.01720354,0,0.5,20,Clusterwise RFT,3,3.328457741
0.016,0.218725664,0,0.5,30,Clusterwise RFT,3,3.329813757
