,FWER,sensitivity,sm_sigma,snr,n_subj,method,threshold_u,FWHM
0,0.0,,0.0,0.0,2,Clusterwise RFT,2.6,3.34894560604114
1,0.0,,0.0,0.0,2,Clusterwise RFT,3.0,3.3452720663009923
2,0.0,,0.0,0.0,2,Clusterwise RFT,3.2,3.3122359491692492
3,0.0,,0.0,0.0,5,Clusterwise RFT,2.6,3.335901827534285
4,0.0,,0.0,0.0,5,Clusterwise RFT,3.0,3.322100320004139
5,0.0,,0.0,0.0,5,Clusterwise RFT,3.2,3.3425339269072647
6,0.0,,0.0,0.0,7,Clusterwise RFT,2.6,3.3280413093338312
7,0.0,,0.0,0.0,7,Clusterwise RFT,3.0,3.3299670963487475
8,0.0,,0.0,0.0,7,Clusterwise RFT,3.2,3.3310578423292188
9,0.0,,0.0,0.0,10,Clusterwise RFT,2.6,3.3190913175427146
10,0.0,,0.0,0.0,10,Clusterwise RFT,3.0,3.3319282621446997
11,0.0,,0.0,0.0,10,Clusterwise RFT,3.2,3.326533315316603
12,0.0,,0.0,0.0,15,Clusterwise RFT,2.6,3.3281989243798655
13,0.0,,0.0,0.0,15,Clusterwise RFT,3.0,3.3268711353618303
14,0.0,,0.0,0.0,15,Clusterwise RFT,3.2,3.3399975230714953
15,0.0,,0.0,0.0,20,Clusterwise RFT,2.6,3.3279126312151672
16,0.0,,0.0,0.0,20,Clusterwise RFT,3.0,3.32835768208603
17,0.0,,0.0,0.0,20,Clusterwise RFT,3.2,3.340384614686682
18,0.0,,0.0,0.0,30,Clusterwise RFT,2.6,3.3266320901989483
19,0.0,,0.0,0.0,30,Clusterwise RFT,3.0,3.328670027967348
20,0.0,,0.0,0.0,30,Clusterwise RFT,3.2,3.3341716766792078
21,0.0,,0.0,0.0,45,Clusterwise RFT,2.6,3.3315679163307297
22,0.0,,0.0,0.0,45,Clusterwise RFT,3.0,3.3319862310036914
23,0.0,,0.0,0.0,45,Clusterwise RFT,3.2,3.335247317047307
24,0.0,,0.0,0.0,60,Clusterwise RFT,2.6,3.3283490105418005
25,0.0,,0.0,0.0,60,Clusterwise RFT,3.0,3.3303860227417768
26,0.0,,0.0,0.0,60,Clusterwise RFT,3.2,3.333374898093003
27,0.0,,0.0,0.1,2,Clusterwise RFT,2.6,3.3286646019003037
28,0.0,,0.0,0.1,2,Clusterwise RFT,3.0,3.3033164950138403
29,0.0,,0.0,0.1,2,Clusterwise RFT,3.2,3.313437392649755
30,0.0,,0.0,0.1,5,Clusterwise RFT,2.6,3.3398599657928862
31,0.0,,0.0,0.1,5,Clusterwise RFT,3.0,3.3319576624786205
32,0.0,,0.0,0.1,5,Clusterwise RFT,3.2,3.313957675920301
33,0.0,,0.0,0.1,7,Clusterwise RFT,2.6,3.3407354239881095
34,0.0,,0.0,0.1,7,Clusterwise RFT,3.0,3.3344442222393056
35,0.0,,0.0,0.1,7,Clusterwise RFT,3.2,3.3341991075439434
36,0.0,,0.0,0.1,10,Clusterwise RFT,2.6,3.3228547702539686
37,0.0,,0.0,0.1,10,Clusterwise RFT,3.0,3.331450006782581
38,0.0,,0.0,0.1,10,Clusterwise RFT,3.2,3.3327572149129363
39,0.0,,0.0,0.1,15,Clusterwise RFT,2.6,3.324766351359888
40,0.0,,0.0,0.1,15,Clusterwise RFT,3.0,3.3286229236435756
41,0.0,,0.0,0.1,15,Clusterwise RFT,3.2,3.3444945557200385
42,0.0,,0.0,0.1,20,Clusterwise RFT,2.6,3.3261118693964007
43,0.0,,0.0,0.1,20,Clusterwise RFT,3.0,3.328611943259311
44,0.0,,0.0,0.1,20,Clusterwise RFT,3.2,3.3319071262781885
45,0.0,,0.0,0.1,30,Clusterwise RFT,2.6,3.330377895432953
46,0.0,,0.0,0.1,30,Clusterwise RFT,3.0,3.329505302167733
47,0.0,,0.0,0.1,30,Clusterwise RFT,3.2,3.325278650513402
48,0.0,,0.0,0.1,45,Clusterwise RFT,2.6,3.327127244132578
49,0.0,,0.0,0.1,45,Clusterwise RFT,3.0,3.334717024240352
50,0.0,,0.0,0.1,45,Clusterwise RFT,3.2,3.3333314186320466
51,0.0,,0.0,0.1,60,Clusterwise RFT,2.6,3.329162604296779
52,0.0,,0.0,0.1,60,Clusterwise RFT,3.0,3.3322934139815006
53,0.0,,0.0,0.1,60,Clusterwise RFT,3.2,3.3277886020023333
54,0.0,,0.0,0.25,2,Clusterwise RFT,2.6,3.3140953864253615
55,0.0,,0.0,0.25,2,Clusterwise RFT,3.0,3.3553879516669123
56,0.0,,0.0,0.25,2,Clusterwise RFT,3.2,3.314071753365913
57,0.0,,0.0,0.25,5,Clusterwise RFT,2.6,3.3329940448774327
58,0.0,,0.0,0.25,5,Clusterwise RFT,3.0,3.3345765752207344
59,0.0,,0.0,0.25,5,Clusterwise RFT,3.2,3.3306025730354856
60,0.0,,0.0,0.25,7,Clusterwise RFT,2.6,3.333981664124298
61,0.0,,0.0,0.25,7,Clusterwise RFT,3.0,3.314398617446303
62,0.0,,0.0,0.25,7,Clusterwise RFT,3.2,3.3479466277753342
63,0.0,,0.0,0.25,10,Clusterwise RFT,2.6,3.3359769652730225
64,0.0,,0.0,0.25,10,Clusterwise RFT,3.0,3.33464855472757
65,0.0,,0.0,0.25,10,Clusterwise RFT,3.2,3.3155135060265284
66,0.0,,0.0,0.25,15,Clusterwise RFT,2.6,3.3179566129592577
67,0.0,,0.0,0.25,15,Clusterwise RFT,3.0,3.323376763527089
68,0.0,,0.0,0.25,15,Clusterwise RFT,3.2,3.329972673021277
69,0.0,,0.0,0.25,20,Clusterwise RFT,2.6,3.3302018257482695
70,0.0,,0.0,0.25,20,Clusterwise RFT,3.0,3.333233214285381
71,0.0,,0.0,0.25,20,Clusterwise RFT,3.2,3.3250971294339395
72,0.0,,0.0,0.25,30,Clusterwise RFT,2.6,3.331282958987807
73,0.0,,0.0,0.25,30,Clusterwise RFT,3.0,3.331544570344675
74,0.0,,0.0,0.25,30,Clusterwise RFT,3.2,3.33690841309851
75,0.0,,0.0,0.25,45,Clusterwise RFT,2.6,3.328279964676109
76,0.0,,0.0,0.25,45,Clusterwise RFT,3.0,3.3306597325465392
77,0.0,,0.0,0.25,45,Clusterwise RFT,3.2,3.331613657658129
78,0.020000000000000018,,0.0,0.25,60,Clusterwise RFT,2.6,3.332494934913869
79,0.0,,0.0,0.25,60,Clusterwise RFT,3.0,3.3332887885023346
80,0.0,,0.0,0.25,60,Clusterwise RFT,3.2,3.329054152768418
81,0.0,,0.0,0.5,2,Clusterwise RFT,2.6,3.3481604735455095
82,0.0,,0.0,0.5,2,Clusterwise RFT,3.0,3.3180694508770676
83,0.0,,0.0,0.5,2,Clusterwise RFT,3.2,3.336137117870358
84,0.0,,0.0,0.5,5,Clusterwise RFT,2.6,3.3405749687055044
85,0.0,,0.0,0.5,5,Clusterwise RFT,3.0,3.317820377690035
86,0.0,,0.0,0.5,5,Clusterwise RFT,3.2,3.320031289332735
87,0.0,,0.0,0.5,7,Clusterwise RFT,2.6,3.329306537487299
88,0.0,,0.0,0.5,7,Clusterwise RFT,3.0,3.3195557029772176
89,0.0,,0.0,0.5,7,Clusterwise RFT,3.2,3.334863399093432
90,0.0,,0.0,0.5,10,Clusterwise RFT,2.6,3.3313792481778197
91,0.0,,0.0,0.5,10,Clusterwise RFT,3.0,3.3171384880884798
92,0.0,,0.0,0.5,10,Clusterwise RFT,3.2,3.3350430824579083
93,0.0,,0.0,0.5,15,Clusterwise RFT,2.6,3.3316494460797377
94,0.0,,0.0,0.5,15,Clusterwise RFT,3.0,3.3349146192216557
95,0.0,,0.0,0.5,15,Clusterwise RFT,3.2,3.3278027388304157
96,0.040000000000000036,,0.0,0.5,20,Clusterwise RFT,2.6,3.341321638350259
97,0.010000000000000009,,0.0,0.5,20,Clusterwise RFT,3.0,3.3324412606037113
98,0.0,,0.0,0.5,20,Clusterwise RFT,3.2,3.3263219575515675
99,0.16000000000000003,,0.0,0.5,30,Clusterwise RFT,2.6,3.329169415246459
100,0.0,,0.0,0.5,30,Clusterwise RFT,3.0,3.329778895831315
101,0.020000000000000018,,0.0,0.5,30,Clusterwise RFT,3.2,3.3286340743748575
102,0.20999999999999996,,0.0,0.5,45,Clusterwise RFT,2.6,3.326202758163114
103,0.07999999999999996,,0.0,0.5,45,Clusterwise RFT,3.0,3.330527221294437
104,0.020000000000000018,,0.0,0.5,45,Clusterwise RFT,3.2,3.3332555595691438
105,0.16000000000000003,,0.0,0.5,60,Clusterwise RFT,2.6,3.3307823168139428
106,0.050000000000000044,,0.0,0.5,60,Clusterwise RFT,3.0,3.3354215185702305
107,0.06000000000000005,,0.0,0.5,60,Clusterwise RFT,3.2,3.3301387839992618
108,0.0,,0.0,0.75,2,Clusterwise RFT,2.6,3.324359782177243
