,FWER,sensitivity,sm_sigma,snr,n_subj,method,threshold_u,FWHM
0,0.0,,0.0,0.0,2,Clusterwise RFT,2.4,3.320012014537533
1,0.0,,0.0,0.0,2,Clusterwise RFT,2.6,3.3675625629372137
2,0.0,,0.0,0.0,2,Clusterwise RFT,2.8,3.319059785696934
3,0.0,,0.0,0.0,2,Clusterwise RFT,3.0,3.312831804602718
4,0.0,,0.0,0.0,2,Clusterwise RFT,3.2,3.34750169595781
5,0.0,,0.0,0.0,2,Clusterwise RFT,3.4,3.362341237067986
6,0.0,,0.0,0.0,2,Clusterwise RFT,3.6,3.3396416311143655
7,0.0,,0.0,0.0,2,Clusterwise RFT,3.8,3.334859038623616
8,1.0,,0.0,0.0,2,Clusterwise RFT,4.0,3.316395734925222
9,0.0,,0.0,0.0,2,Clusterwise RFT,4.2,3.341968118356412
10,0.0,,0.0,0.0,2,Clusterwise RFT,4.6,3.313948270486848
11,0.0,,0.0,0.0,5,Clusterwise RFT,2.4,3.3309621479595948
12,0.0,,0.0,0.0,5,Clusterwise RFT,2.6,3.3075984917930117
13,0.0,,0.0,0.0,5,Clusterwise RFT,2.8,3.3204359509785712
14,0.0,,0.0,0.0,5,Clusterwise RFT,3.0,3.3353978304680747
15,0.0,,0.0,0.0,5,Clusterwise RFT,3.2,3.3387109798006627
16,0.0,,0.0,0.0,5,Clusterwise RFT,3.4,3.3378727335593
17,0.0,,0.0,0.0,5,Clusterwise RFT,3.6,3.3206330513834463
18,0.0,,0.0,0.0,5,Clusterwise RFT,3.8,3.328824383262598
19,0.0,,0.0,0.0,5,Clusterwise RFT,4.0,3.3335867876556486
20,0.0,,0.0,0.0,5,Clusterwise RFT,4.2,3.337593394371824
21,0.0,,0.0,0.0,5,Clusterwise RFT,4.6,3.3328962489585807
22,0.0,,0.0,0.0,7,Clusterwise RFT,2.4,3.3300547616359193
23,0.0,,0.0,0.0,7,Clusterwise RFT,2.6,3.328560831593543
24,0.0,,0.0,0.0,7,Clusterwise RFT,2.8,3.339729725411498
25,0.0,,0.0,0.0,7,Clusterwise RFT,3.0,3.332733403580614
26,0.0,,0.0,0.0,7,Clusterwise RFT,3.2,3.325810310775949
27,0.0,,0.0,0.0,7,Clusterwise RFT,3.4,3.325309027490045
28,0.0,,0.0,0.0,7,Clusterwise RFT,3.6,3.3425363799077417
29,0.0,,0.0,0.0,7,Clusterwise RFT,3.8,3.3266836168992686
30,0.0,,0.0,0.0,7,Clusterwise RFT,4.0,3.3427681109932084
31,0.0,,0.0,0.0,7,Clusterwise RFT,4.2,3.3471637050141037
32,0.0,,0.0,0.0,7,Clusterwise RFT,4.6,3.334191826285836
33,0.0,,0.0,0.0,10,Clusterwise RFT,2.4,3.325218343727932
34,0.0,,0.0,0.0,10,Clusterwise RFT,2.6,3.3301274298909846
35,0.0,,0.0,0.0,10,Clusterwise RFT,2.8,3.326572243533919
36,0.0,,0.0,0.0,10,Clusterwise RFT,3.0,3.3312069626917475
37,0.0,,0.0,0.0,10,Clusterwise RFT,3.2,3.3340539406797163
38,0.0,,0.0,0.0,10,Clusterwise RFT,3.4,3.3237310637541797
39,0.0,,0.0,0.0,10,Clusterwise RFT,3.6,3.3408569983873018
40,0.0,,0.0,0.0,10,Clusterwise RFT,3.8,3.3271377239196855
41,0.0,,0.0,0.0,10,Clusterwise RFT,4.0,3.3152440381226698
42,0.0,,0.0,0.0,10,Clusterwise RFT,4.2,3.340580145628845
43,0.0,,0.0,0.0,10,Clusterwise RFT,4.6,3.32322605920499
44,0.0,,0.0,0.0,15,Clusterwise RFT,2.4,3.3296853039296725
45,0.0,,0.0,0.0,15,Clusterwise RFT,2.6,3.3316312156365804
46,0.0,,0.0,0.0,15,Clusterwise RFT,2.8,3.332815014014764
47,0.0,,0.0,0.0,15,Clusterwise RFT,3.0,3.3238698802351307
48,0.0,,0.0,0.0,15,Clusterwise RFT,3.2,3.3316837981913645
49,0.0,,0.0,0.0,15,Clusterwise RFT,3.4,3.328221068390472
50,0.0,,0.0,0.0,15,Clusterwise RFT,3.6,3.328338548508056
51,0.0,,0.0,0.0,15,Clusterwise RFT,3.8,3.329938127549785
52,0.0,,0.0,0.0,15,Clusterwise RFT,4.0,3.3252049866024884
53,0.0,,0.0,0.0,15,Clusterwise RFT,4.2,3.32178666821102
54,0.0,,0.0,0.0,15,Clusterwise RFT,4.6,3.335328604275067
55,0.0,,0.0,0.0,20,Clusterwise RFT,2.4,3.3277432602129546
56,0.0,,0.0,0.0,20,Clusterwise RFT,2.6,3.3239400081369768
57,0.0,,0.0,0.0,20,Clusterwise RFT,2.8,3.332630850826593
58,0.0,,0.0,0.0,20,Clusterwise RFT,3.0,3.3368462483463017
59,0.0,,0.0,0.0,20,Clusterwise RFT,3.2,3.325575579694841
60,0.0,,0.0,0.0,20,Clusterwise RFT,3.4,3.3337884070374755
61,0.0,,0.0,0.0,20,Clusterwise RFT,3.6,3.318183289863028
62,0.0,,0.0,0.0,20,Clusterwise RFT,3.8,3.3309671501414773
63,0.0,,0.0,0.0,20,Clusterwise RFT,4.0,3.3214621387852343
64,0.0,,0.0,0.0,20,Clusterwise RFT,4.2,3.330068758980262
65,0.0,,0.0,0.0,20,Clusterwise RFT,4.6,3.32631079980958
66,0.0,,0.0,0.0,30,Clusterwise RFT,2.4,3.3334067282453077
67,0.0,,0.0,0.0,30,Clusterwise RFT,2.6,3.3291580066120416
68,0.0,,0.0,0.0,30,Clusterwise RFT,2.8,3.3307394312949175
69,0.0,,0.0,0.0,30,Clusterwise RFT,3.0,3.3246640771893174
70,0.0,,0.0,0.0,30,Clusterwise RFT,3.2,3.326924409603236
71,0.0,,0.0,0.0,30,Clusterwise RFT,3.4,3.326055110337572
