,FWER,sensitivity,sm_sigma,snr,n_subj,method,threshold_u,FWHM
0,0.0,,0.0,0.0,2,Clusterwise RFT,2.6,3.345913715527315
1,0.0,,0.0,0.0,2,Clusterwise RFT,3.0,3.3716380057804787
2,0.0,,0.0,0.0,2,Clusterwise RFT,3.2,3.362428820489273
3,0.0,,0.0,0.0,5,Clusterwise RFT,2.6,3.3435858520103574
4,0.0,,0.0,0.0,5,Clusterwise RFT,3.0,3.3186211135928008
5,0.0,,0.0,0.0,5,Clusterwise RFT,3.2,3.322201353217374
6,0.0,,0.0,0.0,7,Clusterwise RFT,2.6,3.34311296856707
7,0.0,,0.0,0.0,7,Clusterwise RFT,3.0,3.336813115957471
8,0.0,,0.0,0.0,7,Clusterwise RFT,3.2,3.3437289222958544
9,0.0,,0.0,0.0,10,Clusterwise RFT,2.6,3.3336273314493075
10,0.0,,0.0,0.0,10,Clusterwise RFT,3.0,3.329668718771986
11,0.0,,0.0,0.0,10,Clusterwise RFT,3.2,3.3315345668304572
12,0.0,,0.0,0.0,15,Clusterwise RFT,2.6,3.329425187361361
13,0.0,,0.0,0.0,15,Clusterwise RFT,3.0,3.3267823012969857
14,0.0,,0.0,0.0,15,Clusterwise RFT,3.2,3.338300964945517
15,0.0,,0.0,0.0,20,Clusterwise RFT,2.6,3.328039919910887
16,0.0,,0.0,0.0,20,Clusterwise RFT,3.0,3.334470037313424
17,0.0,,0.0,0.0,20,Clusterwise RFT,3.2,3.3320798600430495
18,0.0,,0.0,0.0,30,Clusterwise RFT,2.6,3.32629225201239
19,0.0,,0.0,0.0,30,Clusterwise RFT,3.0,3.3331432116716493
20,0.0,,0.0,0.0,30,Clusterwise RFT,3.2,3.332991752390994
21,0.0,,0.0,0.0,45,Clusterwise RFT,2.6,3.3273324431097238
22,0.0,,0.0,0.0,45,Clusterwise RFT,3.0,3.333750192170481
23,0.0,,0.0,0.0,45,Clusterwise RFT,3.2,3.327775099743942
24,0.0,,0.0,0.0,60,Clusterwise RFT,2.6,3.335757702350271
25,0.0,,0.0,0.0,60,Clusterwise RFT,3.0,3.3295088877488994
26,0.0,,0.0,0.0,60,Clusterwise RFT,3.2,3.3333892753838983
27,0.0,,0.0,0.1,2,Clusterwise RFT,2.6,3.3530445728680944
28,0.0,,0.0,0.1,2,Clusterwise RFT,3.0,3.3268817103123087
29,0.0,,0.0,0.1,2,Clusterwise RFT,3.2,3.34238521973348
