N_sims,Sigma,Threshold,SNR,FWER,Sensitivity
1000,0.5,2.5,2.0,0.109,0.7396923076923076
1000,0.5,2.5,2.5,0.133,0.7704260355029585
1000,0.5,2.5,3.0,0.184,0.7977692307692308
1000,0.5,3.0,2.0,0.021,0.712792899408284
1000,0.5,3.0,2.5,0.029,0.741094674556213
1000,0.5,3.0,3.0,0.043,0.7686153846153846
1000,0.5,3.5,2.0,0.003,0.6940532544378698
1000,0.5,3.5,2.5,0.003,0.7162307692307693
1000,0.5,3.5,3.0,0.016,0.7427751479289941
1000,1.0,2.5,2.0,0.146,0.6640114942528735
1000,1.0,2.5,2.5,0.168,0.6836513409961685
1000,1.0,2.5,3.0,0.202,0.6976551724137932
1000,1.0,3.0,2.0,0.037,0.6425249042145594
1000,1.0,3.0,2.5,0.05,0.6644904214559386
1000,1.0,3.0,3.0,0.056,0.678448275862069
1000,1.0,3.5,2.0,0.005,0.6233869731800766
1000,1.0,3.5,2.5,0.014,0.6489272030651341
1000,1.0,3.5,3.0,0.016,0.6644750957854406
1000,1.5,2.5,2.0,0.212,0.6475865102639297
1000,1.5,2.5,2.5,0.207,0.6722551319648093
1000,1.5,2.5,3.0,0.252,0.6926158357771262
1000,1.5,3.0,2.0,0.065,0.6198152492668623
1000,1.5,3.0,2.5,0.065,0.6468064516129033
1000,1.5,3.0,3.0,0.08,0.668850439882698
1000,1.5,3.5,2.0,0.014,0.5980498533724341
1000,1.5,3.5,2.5,0.023,0.6264545454545455
1000,1.5,3.5,3.0,0.023,0.6485601173020528
1000,2.0,2.5,2.0,0.216,0.6320549199084667
1000,2.0,2.5,2.5,0.243,0.6605926773455378
1000,2.0,2.5,3.0,0.274,0.6836590389016018
1000,2.0,3.0,2.0,0.092,0.6030617848970251
1000,2.0,3.0,2.5,0.088,0.6326361556064073
1000,2.0,3.0,3.0,0.111,0.6566201372997712
1000,2.0,3.5,2.0,0.031,0.5813844393592678
1000,2.0,3.5,2.5,0.023,0.6089931350114416
1000,2.0,3.5,3.0,0.03,0.6332700228832951
1000,2.5,2.5,2.0,0.234,0.6072513368983957
1000,2.5,2.5,2.5,0.225,0.6349180035650624
1000,2.5,2.5,3.0,0.252,0.6586470588235294
1000,2.5,3.0,2.0,0.084,0.5758752228163992
1000,2.5,3.0,2.5,0.091,0.6060089126559715
1000,2.5,3.0,3.0,0.092,0.6304777183600713
1000,2.5,3.5,2.0,0.03,0.5538966131907308
1000,2.5,3.5,2.5,0.036,0.5830142602495544
1000,2.5,3.5,3.0,0.038,0.6069019607843137
1000,3.0,2.5,2.0,0.224,0.6042731277533039
1000,3.0,2.5,2.5,0.25,0.6350660792951541
1000,3.0,2.5,3.0,0.252,0.6591057268722468
1000,3.0,3.0,2.0,0.093,0.5747503671071953
1000,3.0,3.0,2.5,0.098,0.6044405286343613
1000,3.0,3.0,3.0,0.1,0.6297650513950074
1000,3.0,3.5,2.0,0.035,0.5496754772393538
1000,3.0,3.5,2.5,0.03,0.5801277533039648
1000,3.0,3.5,3.0,0.038,0.6053568281938326
