FWER,sensitivity,sm_sigma,snr,n_subj,method,threshold_u,FWHM
0.0,0.0,0.0,0.0,2,normal,2.4,2.3782441908485654
0.0,0.0,0.0,0.0,5,normal,2.4,2.363772318384569
0.0,0.0,0.0,0.0,7,normal,2.4,2.3604541666775156
0.0,0.0,0.0,0.0,10,normal,2.4,2.3545075407368135
0.0,0.0,0.0,0.0,15,normal,2.4,2.3538337485137633
0.0,0.0,0.0,0.0,20,normal,2.4,2.356951052186251
0.0,0.0,0.0,0.0,30,normal,2.4,2.3587895919606727
0.0,0.0,0.0,0.0,45,normal,2.4,2.357777784414638
0.0,0.0,0.0,0.0,60,normal,2.4,2.356358687101066
0.0,0.0,0.0,0.1,2,normal,2.4,2.3782441908485654
0.0,0.0,0.0,0.1,5,normal,2.4,2.363772318384569
0.0,0.0,0.0,0.1,7,normal,2.4,2.3604541666775156
0.0,0.0,0.0,0.1,10,normal,2.4,2.3545075407368135
0.0,0.0,0.0,0.1,15,normal,2.4,2.3538337485137633
0.0,0.0,0.0,0.1,20,normal,2.4,2.356951052186251
0.0,0.0,0.0,0.1,30,normal,2.4,2.3587895919606727
0.0,0.0,0.0,0.1,45,normal,2.4,2.357777784414638
0.0,0.0,0.0,0.1,60,normal,2.4,2.356358687101066
0.0,0.0,0.0,0.25,2,normal,2.4,2.3782441908485654
0.0,0.0,0.0,0.25,5,normal,2.4,2.363772318384569
0.0,0.0,0.0,0.25,7,normal,2.4,2.3604541666775156
0.0,0.0,0.0,0.25,10,normal,2.4,2.3545075407368135
0.0,0.0,0.0,0.25,15,normal,2.4,2.3538337485137633
0.0,0.0,0.0,0.25,20,normal,2.4,2.356951052186251
0.0,0.0008259587020648967,0.0,0.25,30,normal,2.4,2.3587895919606727
0.005333333333333301,0.02204719764011799,0.0,0.25,45,normal,2.4,2.357777784414638
0.05600000000000005,0.11903834808259588,0.0,0.25,60,normal,2.4,2.356358687101066
0.0,0.0,0.0,0.5,2,normal,2.4,2.3782441908485654
0.0,0.0,0.0,0.5,5,normal,2.4,2.363772318384569
0.0,7.079646017699115e-05,0.0,0.5,7,normal,2.4,2.3604541666775156
0.0,0.000831858407079646,0.0,0.5,10,normal,2.4,2.3545075407368135
0.033333333333333326,0.05286135693215338,0.0,0.5,15,normal,2.4,2.3538337485137633
