FWER,sensitivity,sm_sigma,snr,n_subj,method,threshold_u,FWHM
0.0,0.0,0.0,0.0,2,t-dist,2.6,2.360568296949189
0.0,0.0,0.0,0.0,5,t-dist,2.6,2.368687693840898
0.0,0.0,0.0,0.0,7,t-dist,2.6,2.368330114334072
0.0,0.0,0.0,0.0,10,t-dist,2.6,2.3678667658797274
0.0,0.0,0.0,0.0,15,t-dist,2.6,2.359913465347505
0.0,0.0,0.0,0.0,20,t-dist,2.6,2.3558294466096994
0.0,0.0,0.0,0.0,30,t-dist,2.6,2.35512836255783
0.0,0.0,0.0,0.0,45,t-dist,2.6,2.3608835128902412
0.0,0.0,0.0,0.0,60,t-dist,2.6,2.3619237856196373
0.0,0.0,0.0,0.1,2,t-dist,2.6,2.360568296949189
0.0,0.0,0.0,0.1,5,t-dist,2.6,2.368687693840898
0.0,0.0,0.0,0.1,7,t-dist,2.6,2.368330114334072
0.0,0.0,0.0,0.1,10,t-dist,2.6,2.3678667658797274
0.0,0.0,0.0,0.1,15,t-dist,2.6,2.359913465347505
0.0,0.0,0.0,0.1,20,t-dist,2.6,2.3558294466096994
0.0,0.0,0.0,0.1,30,t-dist,2.6,2.35512836255783
0.0,0.0,0.0,0.1,45,t-dist,2.6,2.3608835128902412
0.0,0.0,0.0,0.1,60,t-dist,2.6,2.3619237856196373
0.0,0.0,0.0,0.25,2,t-dist,2.6,2.360568296949189
0.0,0.0,0.0,0.25,5,t-dist,2.6,2.368687693840898
0.0,0.0,0.0,0.25,7,t-dist,2.6,2.368330114334072
0.0,0.0,0.0,0.25,10,t-dist,2.6,2.3678667658797274
0.0,0.0,0.0,0.25,15,t-dist,2.6,2.359913465347505
0.0,0.0,0.0,0.25,20,t-dist,2.6,2.3558294466096994
0.0,0.0,0.0,0.25,30,t-dist,2.6,2.35512836255783
0.0,0.0,0.0,0.25,45,t-dist,2.6,2.3608835128902412
0.0,5.3097345132743365e-05,0.0,0.25,60,t-dist,2.6,2.3619237856196373
0.0,0.0,0.0,0.5,2,t-dist,2.6,2.360568296949189
0.0,0.0,0.0,0.5,5,t-dist,2.6,2.368687693840898
0.0,0.0,0.0,0.5,7,t-dist,2.6,2.368330114334072
0.0,0.0,0.0,0.5,10,t-dist,2.6,2.3678667658797274
0.0,0.00010619469026548673,0.0,0.5,15,t-dist,2.6,2.359913465347505
0.0006666666666667043,0.0014926253687315635,0.0,0.5,20,t-dist,2.6,2.3558294466096994
0.007333333333333303,0.029433628318584076,0.0,0.5,30,t-dist,2.6,2.35512836255783
0.043333333333333335,0.18263126843657818,0.0,0.5,45,t-dist,2.6,2.3608835128902412
0.09866666666666668,0.36779941002949856,0.0,0.5,60,t-dist,2.6,2.3619237856196373
0.0,0.0,0.0,0.75,2,t-dist,2.6,2.360568296949189
0.0,0.0,0.0,0.75,5,t-dist,2.6,2.368687693840898
0.0,5.899705014749262e-05,0.0,0.75,7,t-dist,2.6,2.368330114334072
0.0,0.0029380530973451328,0.0,0.75,10,t-dist,2.6,2.3678667658797274
0.009333333333333305,0.05496165191740413,0.0,0.75,15,t-dist,2.6,2.359913465347505
0.026666666666666616,0.1842300884955752,0.0,0.75,20,t-dist,2.6,2.3558294466096994
0.09533333333333338,0.45544542772861357,0.0,0.75,30,t-dist,2.6,2.35512836255783
0.15800000000000003,0.6747020648967552,0.0,0.75,45,t-dist,2.6,2.3608835128902412
0.17933333333333334,0.7990029498525074,0.0,0.75,60,t-dist,2.6,2.3619237856196373
0.0,0.0,0.0,1.0,2,t-dist,2.6,2.360568296949189
0.0006666666666667043,5.899705014749262e-05,0.0,1.0,5,t-dist,2.6,2.368687693840898
0.0,0.004300884955752213,0.0,1.0,7,t-dist,2.6,2.368330114334072
0.01200000000000001,0.08485545722713865,0.0,1.0,10,t-dist,2.6,2.3678667658797274
0.07999999999999996,0.35985250737463126,0.0,1.0,15,t-dist,2.6,2.359913465347505
0.10066666666666668,0.5472153392330383,0.0,1.0,20,t-dist,2.6,2.3558294466096994
0.1433333333333333,0.7459174041297935,0.0,1.0,30,t-dist,2.6,2.35512836255783
0.18133333333333335,0.8854513274336283,0.0,1.0,45,t-dist,2.6,2.3608835128902412
0.18999999999999995,0.9434100294985249,0.0,1.0,60,t-dist,2.6,2.3619237856196373
0.0,0.0,0.0,1.25,2,t-dist,2.6,2.360568296949189
0.0006666666666667043,0.0014159292035398228,0.0,1.25,5,t-dist,2.6,2.368687693840898
0.010666666666666713,0.0652212389380531,0.0,1.25,7,t-dist,2.6,2.368330114334072
0.05800000000000005,0.334117994100295,0.0,1.25,10,t-dist,2.6,2.3678667658797274
0.1213333333333333,0.609952802359882,0.0,1.25,15,t-dist,2.6,2.359913465347505
0.128,0.7494277286135693,0.0,1.25,20,t-dist,2.6,2.3558294466096994
0.15333333333333332,0.8861061946902655,0.0,1.25,30,t-dist,2.6,2.35512836255783
0.18600000000000005,0.9584601769911504,0.0,1.25,45,t-dist,2.6,2.3608835128902412
0.19399999999999995,0.9811504424778759,0.0,1.25,60,t-dist,2.6,2.3619237856196373
0.0,0.0,0.0,1.5,2,t-dist,2.6,2.360568296949189
0.005333333333333301,0.0175929203539823,0.0,1.5,5,t-dist,2.6,2.368687693840898
0.04600000000000004,0.23853687315634214,0.0,1.5,7,t-dist,2.6,2.368330114334072
0.09466666666666668,0.5436637168141593,0.0,1.5,10,t-dist,2.6,2.3678667658797274
0.1353333333333333,0.7602123893805308,0.0,1.5,15,t-dist,2.6,2.359913465347505
0.134,0.8628200589970502,0.0,1.5,20,t-dist,2.6,2.3558294466096994
0.15666666666666662,0.9465899705014749,0.0,1.5,30,t-dist,2.6,2.35512836255783
0.18733333333333335,0.9820412979351031,0.0,1.5,45,t-dist,2.6,2.3608835128902412
0.19533333333333336,0.9917463126843657,0.0,1.5,60,t-dist,2.6,2.3619237856196373
0.0,0.0,0.0,1.75,2,t-dist,2.6,2.360568296949189
0.01733333333333331,0.08257227138643068,0.0,1.75,5,t-dist,2.6,2.368687693840898
0.08666666666666667,0.42197050147492626,0.0,1.75,7,t-dist,2.6,2.368330114334072
0.11599999999999999,0.6812861356932153,0.0,1.75,10,t-dist,2.6,2.3678667658797274
0.13866666666666672,0.8524837758112094,0.0,1.75,15,t-dist,2.6,2.359913465347505
0.1373333333333333,0.9233746312684364,0.0,1.75,20,t-dist,2.6,2.3558294466096994
0.15666666666666662,0.9728613569321533,0.0,1.75,30,t-dist,2.6,2.35512836255783
0.18866666666666665,0.9906666666666667,0.0,1.75,45,t-dist,2.6,2.3608835128902412
0.19533333333333336,0.9956519174041297,0.0,1.75,60,t-dist,2.6,2.3619237856196373
0.0,0.0,0.0,2.0,2,t-dist,2.6,2.360568296949189
0.04133333333333333,0.1990855457227139,0.0,2.0,5,t-dist,2.6,2.368687693840898
0.10466666666666669,0.5603539823008848,0.0,2.0,7,t-dist,2.6,2.368330114334072
0.126,0.7763893805309735,0.0,2.0,10,t-dist,2.6,2.3678667658797274
0.14466666666666672,0.9086135693215339,0.0,2.0,15,t-dist,2.6,2.359913465347505
0.14200000000000002,0.9549734513274335,0.0,2.0,20,t-dist,2.6,2.3558294466096994
0.15666666666666662,0.9847551622418877,0.0,2.0,30,t-dist,2.6,2.35512836255783
