FWER,sensitivity,sm_sigma,snr,n_subj,method,threshold_u,FWHM
0.0,0.0,0.0,0.0,2,Clusterwise RFT,3.2,2.369417582117997
0.0,0.0,0.0,0.0,5,Clusterwise RFT,3.2,2.357427389412997
0.0,0.0,0.0,0.0,7,Clusterwise RFT,3.2,2.3546593673936163
0.0,0.0,0.0,0.0,10,Clusterwise RFT,3.2,2.3619304203354896
0.0,0.0,0.0,0.0,15,Clusterwise RFT,3.2,2.358327700187912
0.0,0.0,0.0,0.0,20,Clusterwise RFT,3.2,2.3620445312620686
0.0,0.0,0.0,0.0,30,Clusterwise RFT,3.2,2.355202809628636
0.0,0.0,0.0,0.0,45,Clusterwise RFT,3.2,2.354798735170765
0.0,0.0,0.0,0.0,60,Clusterwise RFT,3.2,2.3546709156243564
0.0,0.0,0.0,0.1,2,Clusterwise RFT,3.2,2.3607680428552493
0.0,0.0,0.0,0.1,5,Clusterwise RFT,3.2,2.3521314072295807
0.0,0.0,0.0,0.1,7,Clusterwise RFT,3.2,2.3583505106601805
0.0,0.0,0.0,0.1,10,Clusterwise RFT,3.2,2.3567262625123893
0.0,0.0,0.0,0.1,15,Clusterwise RFT,3.2,2.3504718011773584
0.0,0.0,0.0,0.1,20,Clusterwise RFT,3.2,2.3506393252225766
0.0,0.0,0.0,0.1,30,Clusterwise RFT,3.2,2.3501519646507587
0.0,0.0,0.0,0.1,45,Clusterwise RFT,3.2,2.3512723844163386
0.0,0.0,0.0,0.1,60,Clusterwise RFT,3.2,2.3529320698901377
0.0,0.0,0.0,0.25,2,Clusterwise RFT,3.2,2.34229238965998
0.0,0.0,0.0,0.25,5,Clusterwise RFT,3.2,2.3592980220739985
0.0,0.0,0.0,0.25,7,Clusterwise RFT,3.2,2.347679153703315
0.0,0.0,0.0,0.25,10,Clusterwise RFT,3.2,2.3535866889642576
0.0,0.0,0.0,0.25,15,Clusterwise RFT,3.2,2.3539056914363123
0.0,0.0,0.0,0.25,20,Clusterwise RFT,3.2,2.355913824315347
0.0,4.129793510324484e-05,0.0,0.25,30,Clusterwise RFT,3.2,2.354196800211166
0.0,0.000424778761061947,0.0,0.25,45,Clusterwise RFT,3.2,2.352702986313005
0.0,0.004342182890855457,0.0,0.25,60,Clusterwise RFT,3.2,2.3529237050978256
0.0,0.0,0.0,0.5,2,Clusterwise RFT,3.2,2.368048924425122
0.0,0.0,0.0,0.5,5,Clusterwise RFT,3.2,2.350426917807625
0.0,0.0,0.0,0.5,7,Clusterwise RFT,3.2,2.349626418197039
0.0,0.0,0.0,0.5,10,Clusterwise RFT,3.2,2.358137567718862
0.0,0.0007610619469026549,0.0,0.5,15,Clusterwise RFT,3.2,2.3584285524762225
0.0013333333333332975,0.008194690265486726,0.0,0.5,20,Clusterwise RFT,3.2,2.3571130042557935
0.007333333333333303,0.1223244837758112,0.0,0.5,30,Clusterwise RFT,3.2,2.350594952223789
0.02400000000000002,0.4586135693215339,0.0,0.5,45,Clusterwise RFT,3.2,2.358830908599428
0.02733333333333332,0.6911386430678467,0.0,0.5,60,Clusterwise RFT,3.2,2.3531993852413295
0.0,0.0,0.0,0.75,2,Clusterwise RFT,3.2,2.3551214506486575
0.0,0.0,0.0,0.75,5,Clusterwise RFT,3.2,2.359901939811264
0.0,0.0,0.0,0.75,7,Clusterwise RFT,3.2,2.356238096556357
0.0,0.002088495575221239,0.0,0.75,10,Clusterwise RFT,3.2,2.3519996878853466
0.007333333333333303,0.08621238938053097,0.0,0.75,15,Clusterwise RFT,3.2,2.3501330146179664
0.01733333333333331,0.3270973451327434,0.0,0.75,20,Clusterwise RFT,3.2,2.3559881166983323
0.026666666666666616,0.7042300884955751,0.0,0.75,30,Clusterwise RFT,3.2,2.3570159704432196
0.04066666666666663,0.9373628318584071,0.0,0.75,45,Clusterwise RFT,3.2,2.352901254582416
0.03200000000000003,0.990778761061947,0.0,0.75,60,Clusterwise RFT,3.2,2.3549074107355636
0.0,0.0,0.0,1.0,2,Clusterwise RFT,3.2,2.359542009320545
0.0,4.129793510324484e-05,0.0,1.0,5,Clusterwise RFT,3.2,2.3480927548289774
0.0,0.001174041297935103,0.0,1.0,7,Clusterwise RFT,3.2,2.368638985170582
0.0020000000000000018,0.06460766961651918,0.0,1.0,10,Clusterwise RFT,3.2,2.3501297772961265
0.026000000000000023,0.4641828908554572,0.0,1.0,15,Clusterwise RFT,3.2,2.3583701772214587
0.040000000000000036,0.744896755162242,0.0,1.0,20,Clusterwise RFT,3.2,2.35437876599754
0.036666666666666625,0.9624365781710914,0.0,1.0,30,Clusterwise RFT,3.2,2.3566114177135336
0.03733333333333333,0.999014749262537,0.0,1.0,45,Clusterwise RFT,3.2,2.352188246413532
0.036666666666666625,0.9999941002949853,0.0,1.0,60,Clusterwise RFT,3.2,2.358187903213402
0.0,0.0,0.0,1.25,2,Clusterwise RFT,3.2,2.3401690482002944
0.0,0.00018289085545722712,0.0,1.25,5,Clusterwise RFT,3.2,2.3501570175694617
0.0013333333333332975,0.017256637168141596,0.0,1.25,7,Clusterwise RFT,3.2,2.349802984432025
0.01733333333333331,0.31363421828908555,0.0,1.25,10,Clusterwise RFT,3.2,2.3564670913199626
0.03733333333333333,0.7735929203539822,0.0,1.25,15,Clusterwise RFT,3.2,2.3511154738992697
0.030000000000000027,0.9474631268436579,0.0,1.25,20,Clusterwise RFT,3.2,2.357504366133032
0.033333333333333326,0.9987492625368731,0.0,1.25,30,Clusterwise RFT,3.2,2.355272872823638
0.036666666666666625,0.9999941002949853,0.0,1.25,45,Clusterwise RFT,3.2,2.3566870063122995
0.03200000000000003,1.0,0.0,1.25,60,Clusterwise RFT,3.2,2.354148668640085
0.0,0.0,0.0,1.5,2,Clusterwise RFT,3.2,2.349033906700216
0.0,0.001126843657817109,0.0,1.5,5,Clusterwise RFT,3.2,2.352451512669325
0.011333333333333306,0.10975221238938053,0.0,1.5,7,Clusterwise RFT,3.2,2.3573881475127485
0.02400000000000002,0.5809970501474927,0.0,1.5,10,Clusterwise RFT,3.2,2.3497397126285278
0.040000000000000036,0.9346548672566372,0.0,1.5,15,Clusterwise RFT,3.2,2.3486941125117653
0.03733333333333333,0.9947433628318583,0.0,1.5,20,Clusterwise RFT,3.2,2.352885087935031
0.029333333333333322,0.9999882005899705,0.0,1.5,30,Clusterwise RFT,3.2,2.356416409393482
0.038000000000000034,1.0,0.0,1.5,45,Clusterwise RFT,3.2,2.353378519470476
0.040000000000000036,1.0,0.0,1.5,60,Clusterwise RFT,3.2,2.3544041990981244
0.0,0.0,0.0,1.75,2,Clusterwise RFT,3.2,2.3578507792739454
0.0006666666666667043,0.007634218289085545,0.0,1.75,5,Clusterwise RFT,3.2,2.3617986860403417
0.02400000000000002,0.28280825958702066,0.0,1.75,7,Clusterwise RFT,3.2,2.3529430084206178
0.031333333333333324,0.7766194690265487,0.0,1.75,10,Clusterwise RFT,3.2,2.3640538415296426
0.04600000000000004,0.9879410029498525,0.0,1.75,15,Clusterwise RFT,3.2,2.357027677248372
0.043333333333333335,0.9998053097345132,0.0,1.75,20,Clusterwise RFT,3.2,2.3526013746736596
0.03400000000000003,1.0,0.0,1.75,30,Clusterwise RFT,3.2,2.357228925473166
0.040000000000000036,1.0,0.0,1.75,45,Clusterwise RFT,3.2,2.3580762373689623
0.04466666666666663,1.0,0.0,1.75,60,Clusterwise RFT,3.2,2.355468552788456
0.0,0.0,0.0,2.0,2,Clusterwise RFT,3.2,2.3310342535851074
0.0020000000000000018,0.030153392330383482,0.0,2.0,5,Clusterwise RFT,3.2,2.3542446097005967
0.01666666666666672,0.4696755162241888,0.0,2.0,7,Clusterwise RFT,3.2,2.3635175027387905
0.04200000000000004,0.9012212389380531,0.0,2.0,10,Clusterwise RFT,3.2,2.352052391424356
0.03466666666666662,0.9988377581120944,0.0,2.0,15,Clusterwise RFT,3.2,2.359985832907555
0.038000000000000034,0.9999882005899705,0.0,2.0,20,Clusterwise RFT,3.2,2.3558909026562036
0.03266666666666662,1.0,0.0,2.0,30,Clusterwise RFT,3.2,2.3555130784707394
0.03733333333333333,1.0,0.0,2.0,45,Clusterwise RFT,3.2,2.3513476797349004
0.026000000000000023,1.0,0.0,2.0,60,Clusterwise RFT,3.2,2.357664912000909
0.0,0.0,0.0,2.25,2,Clusterwise RFT,3.2,2.380787658863772
0.00666666666666671,0.07955162241887906,0.0,2.25,5,Clusterwise RFT,3.2,2.344267104857774
0.02733333333333332,0.6243303834808259,0.0,2.25,7,Clusterwise RFT,3.2,2.352476969748017
0.03600000000000003,0.9655103244837758,0.0,2.25,10,Clusterwise RFT,3.2,2.3496159324383186
0.040000000000000036,0.9999233038348082,0.0,2.25,15,Clusterwise RFT,3.2,2.3551011475490164
0.040000000000000036,1.0,0.0,2.25,20,Clusterwise RFT,3.2,2.3544741005137957
0.036666666666666625,1.0,0.0,2.25,30,Clusterwise RFT,3.2,2.362813863218278
0.03200000000000003,1.0,0.0,2.25,45,Clusterwise RFT,3.2,2.3544447224757596
0.03866666666666663,1.0,0.0,2.25,60,Clusterwise RFT,3.2,2.3521436488302006
0.0,0.0,0.0,2.5,2,Clusterwise RFT,3.2,2.3663595598472393
0.010666666666666713,0.16383480825958702,0.0,2.5,5,Clusterwise RFT,3.2,2.352723145907275
0.03533333333333333,0.7504601769911505,0.0,2.5,7,Clusterwise RFT,3.2,2.3491041499673755
0.043333333333333335,0.9895929203539822,0.0,2.5,10,Clusterwise RFT,3.2,2.3550784202895843
0.04133333333333333,0.9999941002949853,0.0,2.5,15,Clusterwise RFT,3.2,2.3528924750533995
0.04133333333333333,1.0,0.0,2.5,20,Clusterwise RFT,3.2,2.35237949686898
0.03733333333333333,1.0,0.0,2.5,30,Clusterwise RFT,3.2,2.351812816467876
0.04133333333333333,1.0,0.0,2.5,45,Clusterwise RFT,3.2,2.359447062101834
0.04800000000000004,1.0,0.0,2.5,60,Clusterwise RFT,3.2,2.354379001136227
0.0,0.0,0.0,2.75,2,Clusterwise RFT,3.2,2.3463723368437424
0.008666666666666711,0.27077876106194687,0.0,2.75,5,Clusterwise RFT,3.2,2.3463382532086645
0.03200000000000003,0.8433746312684365,0.0,2.75,7,Clusterwise RFT,3.2,2.352472022829747
0.04533333333333334,0.9973805309734514,0.0,2.75,10,Clusterwise RFT,3.2,2.355885765834984
0.036666666666666625,1.0,0.0,2.75,15,Clusterwise RFT,3.2,2.3532451102075056
0.03600000000000003,1.0,0.0,2.75,20,Clusterwise RFT,3.2,2.3504720156611834
0.04133333333333333,1.0,0.0,2.75,30,Clusterwise RFT,3.2,2.355897262850425
0.03533333333333333,1.0,0.0,2.75,45,Clusterwise RFT,3.2,2.3549519172627265
0.03200000000000003,1.0,0.0,2.75,60,Clusterwise RFT,3.2,2.3547057703717256
0.0,0.0,0.0,3.0,2,Clusterwise RFT,3.2,2.360967734462894
0.01533333333333331,0.37400589970501474,0.0,3.0,5,Clusterwise RFT,3.2,2.3497975381182052
0.036666666666666625,0.9093097345132743,0.0,3.0,7,Clusterwise RFT,3.2,2.35798901049117
0.04066666666666663,0.9995752212389379,0.0,3.0,10,Clusterwise RFT,3.2,2.352936737297441
0.05066666666666664,1.0,0.0,3.0,15,Clusterwise RFT,3.2,2.3498404514000026
0.03066666666666662,1.0,0.0,3.0,20,Clusterwise RFT,3.2,2.351255098107589
0.040000000000000036,1.0,0.0,3.0,30,Clusterwise RFT,3.2,2.3547080987932416
0.03733333333333333,1.0,0.0,3.0,45,Clusterwise RFT,3.2,2.354755892527452
0.03466666666666662,1.0,0.0,3.0,60,Clusterwise RFT,3.2,2.3559779632636433
0.0,0.0,0.1,0.0,2,Clusterwise RFT,3.2,2.336393028875548
0.0,0.0,0.1,0.0,5,Clusterwise RFT,3.2,2.3481975253425125
0.0,0.0,0.1,0.0,7,Clusterwise RFT,3.2,2.3583817508337996
0.0,0.0,0.1,0.0,10,Clusterwise RFT,3.2,2.355104911879781
0.0,0.0,0.1,0.0,15,Clusterwise RFT,3.2,2.35517622349698
0.0,0.0,0.1,0.0,20,Clusterwise RFT,3.2,2.357233653290816
0.0,0.0,0.1,0.0,30,Clusterwise RFT,3.2,2.3570450334424766
0.0,0.0,0.1,0.0,45,Clusterwise RFT,3.2,2.3529374857015397
0.0,0.0,0.1,0.0,60,Clusterwise RFT,3.2,2.352576883645548
0.0,0.0,0.1,0.1,2,Clusterwise RFT,3.2,2.349458558053595
0.0,0.0,0.1,0.1,5,Clusterwise RFT,3.2,2.3558352376745635
0.0,0.0,0.1,0.1,7,Clusterwise RFT,3.2,2.3592638003536104
0.0,0.0,0.1,0.1,10,Clusterwise RFT,3.2,2.3542344192056293
