FWER,sensitivity,sm_sigma,snr,n_subj,method,threshold_u,FWHM
0.0,0.0,0.0,0.0,2,Clusterwise RFT,3.2,2.367668875320453
0.0,0.0,0.0,0.0,5,Clusterwise RFT,3.2,2.364643980292784
0.0,0.0,0.0,0.0,7,Clusterwise RFT,3.2,2.4029339445935394
0.0,0.0,0.0,0.0,10,Clusterwise RFT,3.2,2.3469340139138755
0.0,0.0,0.0,0.0,15,Clusterwise RFT,3.2,2.3557330252300597
0.0,0.0,0.0,0.0,20,Clusterwise RFT,3.2,2.354136741502407
0.0,0.0,0.0,0.0,30,Clusterwise RFT,3.2,2.3605111560273144
0.0,0.0,0.0,0.0,45,Clusterwise RFT,3.2,2.7087554223259653
0.0,0.0,0.0,0.0,60,Clusterwise RFT,3.2,2.359812011477377
0.0,0.0,0.0,0.1,2,Clusterwise RFT,3.2,2.3362287077234702
0.0,0.0,0.0,0.1,5,Clusterwise RFT,3.2,2.3571001991841043
0.0,0.0,0.0,0.1,7,Clusterwise RFT,3.2,2.3318970162067125
0.0,0.0,0.0,0.1,10,Clusterwise RFT,3.2,2.3458265797451667
0.0,0.0,0.0,0.1,15,Clusterwise RFT,3.2,2.3675516080284877
0.0,0.0,0.0,0.1,20,Clusterwise RFT,3.2,2.3474790464936284
0.0,0.0,0.0,0.1,30,Clusterwise RFT,3.2,2.354079518560556
0.0,0.0,0.0,0.1,45,Clusterwise RFT,3.2,2.3518994496461403
0.0,0.0,0.0,0.1,60,Clusterwise RFT,3.2,2.3386163673289166
0.0,0.0,0.0,0.25,2,Clusterwise RFT,3.2,2.3869307002778157
0.0,0.0,0.0,0.25,5,Clusterwise RFT,3.2,2.3583806929862297
0.0,0.0,0.0,0.25,7,Clusterwise RFT,3.2,2.369458128427622
0.0,0.0,0.0,0.25,10,Clusterwise RFT,3.2,2.3590214196046517
0.0,0.0,0.0,0.25,15,Clusterwise RFT,3.2,2.3559309733907843
0.0,0.0,0.0,0.25,20,Clusterwise RFT,3.2,2.3508170977420333
0.0,0.0,0.0,0.25,30,Clusterwise RFT,3.2,2.3546474270638353
0.0,0.0,0.0,0.25,45,Clusterwise RFT,3.2,2.349911752928843
0.0,0.0,0.0,0.25,60,Clusterwise RFT,3.2,2.353028006874201
0.0,0.0,0.0,0.5,2,Clusterwise RFT,3.2,2.367312940398001
0.0,0.0,0.0,0.5,5,Clusterwise RFT,3.2,2.349332615461368
0.0,0.0,0.0,0.5,7,Clusterwise RFT,3.2,2.3318332036261094
0.0,0.0,0.0,0.5,10,Clusterwise RFT,3.2,2.3616516189931187
0.0,0.0,0.0,0.5,15,Clusterwise RFT,3.2,2.3337089340979658
0.0,6.489675516224189e-05,0.0,0.5,20,Clusterwise RFT,3.2,2.35462652778716
0.0,0.001398230088495575,0.0,0.5,30,Clusterwise RFT,3.2,2.3543987138051627
0.0006666666666667043,0.024820058997050143,0.0,0.5,45,Clusterwise RFT,3.2,2.356004268675932
0.0013333333333332975,0.10225368731563422,0.0,0.5,60,Clusterwise RFT,3.2,2.354247078063216
0.0,0.0,0.0,0.75,2,Clusterwise RFT,3.2,2.321078405676395
0.0,0.0,0.0,0.75,5,Clusterwise RFT,3.2,2.3477274245900324
0.0,0.0,0.0,0.75,7,Clusterwise RFT,3.2,2.354505365650038
0.0,2.949852507374631e-05,0.0,0.75,10,Clusterwise RFT,3.2,2.383401257941697
0.0,0.0030206489675516225,0.0,0.75,15,Clusterwise RFT,3.2,2.360142864957373
0.0013333333333332975,0.021952802359882003,0.0,0.75,20,Clusterwise RFT,3.2,2.3465270536412963
0.0040000000000000036,0.15886725663716814,0.0,0.75,30,Clusterwise RFT,3.2,2.3510225596603185
0.008666666666666711,0.42822418879056046,0.0,0.75,45,Clusterwise RFT,3.2,2.3564241387483738
0.013333333333333308,0.6151150442477875,0.0,0.75,60,Clusterwise RFT,3.2,2.349950159322905
0.0,0.0,0.0,1.0,2,Clusterwise RFT,3.2,2.3318065304951237
0.0,0.0,0.0,1.0,5,Clusterwise RFT,3.2,2.3448039971596657
0.0,2.949852507374631e-05,0.0,1.0,7,Clusterwise RFT,3.2,2.414345663868383
0.0,0.00256047197640118,0.0,1.0,10,Clusterwise RFT,3.2,2.358781063258642
0.002666666666666706,0.07174041297935103,0.0,1.0,15,Clusterwise RFT,3.2,2.3490316796164126
0.0040000000000000036,0.2353038348082596,0.0,1.0,20,Clusterwise RFT,3.2,2.3441833781998236
0.013333333333333308,0.5291740412979351,0.0,1.0,30,Clusterwise RFT,3.2,2.3538831379121827
0.01866666666666672,0.7605368731563421,0.0,1.0,45,Clusterwise RFT,3.2,2.3729106857175672
0.020666666666666722,0.8734218289085548,0.0,1.0,60,Clusterwise RFT,3.2,2.358432995582192
0.0,0.0,0.0,1.25,2,Clusterwise RFT,3.2,2.3575022118230016
0.0,5.899705014749262e-05,0.0,1.25,5,Clusterwise RFT,3.2,2.3456664489487573
0.0,0.001463126843657817,0.0,1.25,7,Clusterwise RFT,3.2,2.3490754226648414
0.0013333333333332975,0.045840707964601775,0.0,1.25,10,Clusterwise RFT,3.2,2.344966046558754
0.00666666666666671,0.3035221238938053,0.0,1.25,15,Clusterwise RFT,3.2,2.3616278292639072
0.01200000000000001,0.5235457227138642,0.0,1.25,20,Clusterwise RFT,3.2,2.3522820525571273
0.020000000000000018,0.7587374631268436,0.0,1.25,30,Clusterwise RFT,3.2,2.355518398738788
0.01533333333333331,0.9053687315634218,0.0,1.25,45,Clusterwise RFT,3.2,2.350518635389442
0.020666666666666722,0.9579056047197639,0.0,1.25,60,Clusterwise RFT,3.2,2.352313748436398
0.0,0.0,0.0,1.5,2,Clusterwise RFT,3.2,2.345219341082286
0.0,5.899705014749262e-05,0.0,1.5,5,Clusterwise RFT,3.2,2.3864384098937372
0.0,0.013498525073746312,0.0,1.5,7,Clusterwise RFT,3.2,2.3514003904894176
0.002666666666666706,0.17811209439528022,0.0,1.5,10,Clusterwise RFT,3.2,2.3534311198894318
0.01200000000000001,0.5245722713864307,0.0,1.5,15,Clusterwise RFT,3.2,2.3516911854847717
0.00666666666666671,0.7119882005899705,0.0,1.5,20,Clusterwise RFT,3.2,2.3567266084037923
0.026666666666666616,0.8808849557522123,0.0,1.5,30,Clusterwise RFT,3.2,2.363880384313776
0.031333333333333324,0.959976401179941,0.0,1.5,45,Clusterwise RFT,3.2,2.363424580893085
0.021333333333333315,0.9820766961651916,0.0,1.5,60,Clusterwise RFT,3.2,2.370732548314737
0.0,0.0,0.0,1.75,2,Clusterwise RFT,3.2,2.360077888903085
0.0,0.0006135693215339233,0.0,1.75,5,Clusterwise RFT,3.2,2.3530036627841358
0.0006666666666667043,0.057492625368731565,0.0,1.75,7,Clusterwise RFT,3.2,2.357815926850621
0.008666666666666711,0.36516224188790564,0.0,1.75,10,Clusterwise RFT,3.2,2.3625633335493954
0.013333333333333308,0.6805604719764011,0.0,1.75,15,Clusterwise RFT,3.2,2.3582923007664207
0.011333333333333306,0.8275221238938053,0.0,1.75,20,Clusterwise RFT,3.2,2.3516130701214255
0.020000000000000018,0.9393510324483776,0.0,1.75,30,Clusterwise RFT,3.2,2.348420026992611
0.020000000000000018,0.9807374631268435,0.0,1.75,45,Clusterwise RFT,3.2,2.3717365057789124
0.019333333333333313,0.9909852507374629,0.0,1.75,60,Clusterwise RFT,3.2,2.3505297854507847
0.0,0.0,0.0,2.0,2,Clusterwise RFT,3.2,2.369188993961452
