fwer,sensitivity,sm_sigma,snr,n,method,distribution
0.0,0.0,0.0,0.0,2,Voxel-wise permutation,normal
0.0,0.0,0.0,0.1,2,Voxel-wise permutation,normal
0.0,0.0,0.0,0.25,2,Voxel-wise permutation,normal
0.0,0.0,0.0,0.5,2,Voxel-wise permutation,normal
0.0,0.0,0.0,0.75,2,Voxel-wise permutation,normal
0.0,0.0,0.0,1.0,2,Voxel-wise permutation,normal
0.0,0.0,0.0,1.25,2,Voxel-wise permutation,normal
0.0,0.0,0.0,1.5,2,Voxel-wise permutation,normal
0.0,0.0,0.0,1.75,2,Voxel-wise permutation,normal
0.0,0.0,0.0,2.0,2,Voxel-wise permutation,normal
0.0,0.0,0.0,2.25,2,Voxel-wise permutation,normal
0.0,0.0,0.0,2.5,2,Voxel-wise permutation,normal
0.0,0.0,0.0,2.75,2,Voxel-wise permutation,normal
0.0,0.0,0.0,3.0,2,Voxel-wise permutation,normal
0.0013333333333333,0.0,0.0,0.0,5,Voxel-wise permutation,normal
0.004,0.0,0.0,0.1,5,Voxel-wise permutation,normal
0.0,0.0,0.0,0.25,5,Voxel-wise permutation,normal
0.0013333333333333,0.0,0.0,0.5,5,Voxel-wise permutation,normal
0.0026666666666666,0.0,0.0,0.75,5,Voxel-wise permutation,normal
0.0013333333333333,1.1799410029498524e-05,0.0,1.0,5,Voxel-wise permutation,normal
0.0026666666666666,3.5398230088495574e-05,0.0,1.25,5,Voxel-wise permutation,normal
0.0,3.5398230088495574e-05,0.0,1.5,5,Voxel-wise permutation,normal
0.0026666666666666,0.0,0.0,1.75,5,Voxel-wise permutation,normal
0.0013333333333333,5.899705014749262e-05,0.0,2.0,5,Voxel-wise permutation,normal
0.0,8.259587020648968e-05,0.0,2.25,5,Voxel-wise permutation,normal
0.0013333333333333,8.259587020648968e-05,0.0,2.5,5,Voxel-wise permutation,normal
0.0026666666666666,0.0002241887905604,0.0,2.75,5,Voxel-wise permutation,normal
0.0,0.0001415929203539,0.0,3.0,5,Voxel-wise permutation,normal
0.0306666666666666,1.1799410029498524e-05,0.0,0.0,7,Voxel-wise permutation,normal
0.0533333333333333,1.1799410029498524e-05,0.0,0.1,7,Voxel-wise permutation,normal
0.044,1.1799410029498524e-05,0.0,0.25,7,Voxel-wise permutation,normal
0.0413333333333333,8.259587020648968e-05,0.0,0.5,7,Voxel-wise permutation,normal
0.036,0.0003185840707964,0.0,0.75,7,Voxel-wise permutation,normal
0.0373333333333333,0.0008613569321533,0.0,1.0,7,Voxel-wise permutation,normal
0.0426666666666666,0.0023008849557522,0.0,1.25,7,Voxel-wise permutation,normal
0.028,0.0040589970501474,0.0,1.5,7,Voxel-wise permutation,normal
0.044,0.0102890855457227,0.0,1.75,7,Voxel-wise permutation,normal
0.0493333333333333,0.0170737463126843,0.0,2.0,7,Voxel-wise permutation,normal
0.0386666666666666,0.0276106194690265,0.0,2.25,7,Voxel-wise permutation,normal
0.0413333333333333,0.0447551622418879,0.0,2.5,7,Voxel-wise permutation,normal
0.0506666666666666,0.0699351032448377,0.0,2.75,7,Voxel-wise permutation,normal
0.052,0.0987610619469026,0.0,3.0,7,Voxel-wise permutation,normal
0.028,1.1799410029498524e-05,0.0,0.0,10,Voxel-wise permutation,normal
0.0533333333333333,0.0,0.0,0.1,10,Voxel-wise permutation,normal
0.0373333333333333,1.1799410029498524e-05,0.0,0.25,10,Voxel-wise permutation,normal
0.0573333333333333,0.0004601769911504,0.0,0.5,10,Voxel-wise permutation,normal
0.0426666666666666,0.0018761061946902,0.0,0.75,10,Voxel-wise permutation,normal
0.0386666666666666,0.0058289085545722,0.0,1.0,10,Voxel-wise permutation,normal
0.04,0.0183952802359882,0.0,1.25,10,Voxel-wise permutation,normal
0.044,0.0456401179941002,0.0,1.5,10,Voxel-wise permutation,normal
0.0413333333333333,0.0972979351032448,0.0,1.75,10,Voxel-wise permutation,normal
0.056,0.1810029498525073,0.0,2.0,10,Voxel-wise permutation,normal
0.0466666666666666,0.2945250737463127,0.0,2.25,10,Voxel-wise permutation,normal
0.0453333333333333,0.4327315634218289,0.0,2.5,10,Voxel-wise permutation,normal
0.0626666666666666,0.5682595870206489,0.0,2.75,10,Voxel-wise permutation,normal
0.0426666666666666,0.6979115044247788,0.0,3.0,10,Voxel-wise permutation,normal
0.044,2.359882005899705e-05,0.0,0.0,15,Voxel-wise permutation,normal
0.056,1.1799410029498524e-05,0.0,0.1,15,Voxel-wise permutation,normal
0.044,0.0001297935103244,0.0,0.25,15,Voxel-wise permutation,normal
0.048,0.0016519174041297,0.0,0.5,15,Voxel-wise permutation,normal
0.0453333333333333,0.0107256637168141,0.0,0.75,15,Voxel-wise permutation,normal
0.0533333333333333,0.0497109144542772,0.0,1.0,15,Voxel-wise permutation,normal
0.0466666666666666,0.1541474926253687,0.0,1.25,15,Voxel-wise permutation,normal
0.0386666666666666,0.3462182890855457,0.0,1.5,15,Voxel-wise permutation,normal
0.0506666666666666,0.5849911504424778,0.0,1.75,15,Voxel-wise permutation,normal
0.052,0.7935693215339233,0.0,2.0,15,Voxel-wise permutation,normal
0.0466666666666666,0.9213215339233038,0.0,2.25,15,Voxel-wise permutation,normal
0.0506666666666666,0.9774749262536871,0.0,2.5,15,Voxel-wise permutation,normal
0.0613333333333333,0.9947728613569322,0.0,2.75,15,Voxel-wise permutation,normal
0.0493333333333333,0.999197640117994,0.0,3.0,15,Voxel-wise permutation,normal
0.0493333333333333,3.5398230088495574e-05,0.0,0.0,20,Voxel-wise permutation,normal
0.0453333333333333,1.1799410029498524e-05,0.0,0.1,20,Voxel-wise permutation,normal
0.0453333333333333,0.0002241887905604,0.0,0.25,20,Voxel-wise permutation,normal
0.0453333333333333,0.0042595870206489,0.0,0.5,20,Voxel-wise permutation,normal
0.0546666666666666,0.0379115044247787,0.0,0.75,20,Voxel-wise permutation,normal
0.044,0.1740884955752212,0.0,1.0,20,Voxel-wise permutation,normal
0.048,0.4499115044247787,0.0,1.25,20,Voxel-wise permutation,normal
0.032,0.7533215339233038,0.0,1.5,20,Voxel-wise permutation,normal
0.0613333333333333,0.9303126843657816,0.0,1.75,20,Voxel-wise permutation,normal
0.044,0.9879410029498524,0.0,2.0,20,Voxel-wise permutation,normal
0.0413333333333333,0.9989144542772862,0.0,2.25,20,Voxel-wise permutation,normal
0.0346666666666666,0.999929203539823,0.0,2.5,20,Voxel-wise permutation,normal
0.0666666666666666,1.0,0.0,2.75,20,Voxel-wise permutation,normal
0.0426666666666666,1.0,0.0,3.0,20,Voxel-wise permutation,normal
0.048,4.71976401179941e-05,0.0,0.0,30,Voxel-wise permutation,normal
0.0506666666666666,3.5398230088495574e-05,0.0,0.1,30,Voxel-wise permutation,normal
0.0386666666666666,0.0007669616519174,0.0,0.25,30,Voxel-wise permutation,normal
0.056,0.0204247787610619,0.0,0.5,30,Voxel-wise permutation,normal
0.0373333333333333,0.1820176991150442,0.0,0.75,30,Voxel-wise permutation,normal
0.048,0.5911032448377581,0.0,1.0,30,Voxel-wise permutation,normal
0.048,0.9109498525073748,0.0,1.25,30,Voxel-wise permutation,normal
0.0426666666666666,0.9928495575221238,0.0,1.5,30,Voxel-wise permutation,normal
0.044,0.999858407079646,0.0,1.75,30,Voxel-wise permutation,normal
0.064,1.0,0.0,2.0,30,Voxel-wise permutation,normal
0.0346666666666666,1.0,0.0,2.25,30,Voxel-wise permutation,normal
0.0533333333333333,1.0,0.0,2.5,30,Voxel-wise permutation,normal
0.0453333333333333,1.0,0.0,2.75,30,Voxel-wise permutation,normal
0.0493333333333333,1.0,0.0,3.0,30,Voxel-wise permutation,normal
0.0386666666666666,1.1799410029498524e-05,0.0,0.0,45,Voxel-wise permutation,normal
0.0573333333333333,5.899705014749262e-05,0.0,0.1,45,Voxel-wise permutation,normal
0.0413333333333333,0.0021356932153392,0.0,0.25,45,Voxel-wise permutation,normal
0.0426666666666666,0.0858289085545722,0.0,0.5,45,Voxel-wise permutation,normal
0.0426666666666666,0.5511032448377582,0.0,0.75,45,Voxel-wise permutation,normal
0.0426666666666666,0.9465722713864306,0.0,1.0,45,Voxel-wise permutation,normal
0.0333333333333333,0.9990324483775812,0.0,1.25,45,Voxel-wise permutation,normal
0.0533333333333333,1.0,0.0,1.5,45,Voxel-wise permutation,normal
0.044,1.0,0.0,1.75,45,Voxel-wise permutation,normal
0.0573333333333333,1.0,0.0,2.0,45,Voxel-wise permutation,normal
0.0533333333333333,1.0,0.0,2.25,45,Voxel-wise permutation,normal
0.0506666666666666,1.0,0.0,2.5,45,Voxel-wise permutation,normal
0.0546666666666666,1.0,0.0,2.75,45,Voxel-wise permutation,normal
0.0533333333333333,1.0,0.0,3.0,45,Voxel-wise permutation,normal
0.0533333333333333,1.1799410029498524e-05,0.0,0.0,60,Voxel-wise permutation,normal
0.0506666666666666,0.0001769911504424,0.0,0.1,60,Voxel-wise permutation,normal
0.0533333333333333,0.0049911504424778,0.0,0.25,60,Voxel-wise permutation,normal
0.0546666666666666,0.2126961651917404,0.0,0.5,60,Voxel-wise permutation,normal
0.0373333333333333,0.8331327433628319,0.0,0.75,60,Voxel-wise permutation,normal
0.0546666666666666,0.9968377581120944,0.0,1.0,60,Voxel-wise permutation,normal
0.0413333333333333,1.0,0.0,1.25,60,Voxel-wise permutation,normal
0.0386666666666666,1.0,0.0,1.5,60,Voxel-wise permutation,normal
0.036,1.0,0.0,1.75,60,Voxel-wise permutation,normal
0.0506666666666666,1.0,0.0,2.0,60,Voxel-wise permutation,normal
0.0506666666666666,1.0,0.0,2.25,60,Voxel-wise permutation,normal
0.052,1.0,0.0,2.5,60,Voxel-wise permutation,normal
0.044,1.0,0.0,2.75,60,Voxel-wise permutation,normal
0.0533333333333333,1.0,0.0,3.0,60,Voxel-wise permutation,normal
0.0,0.0,0.1,0.0,2,Voxel-wise permutation,normal
0.0,0.0,0.1,0.1,2,Voxel-wise permutation,normal
0.0,0.0,0.1,0.25,2,Voxel-wise permutation,normal
0.0,0.0,0.1,0.5,2,Voxel-wise permutation,normal
0.0,0.0,0.1,0.75,2,Voxel-wise permutation,normal
0.0,0.0,0.1,1.0,2,Voxel-wise permutation,normal
0.0,0.0,0.1,1.25,2,Voxel-wise permutation,normal
0.0,0.0,0.1,1.5,2,Voxel-wise permutation,normal
0.0,0.0,0.1,1.75,2,Voxel-wise permutation,normal
0.0,0.0,0.1,2.0,2,Voxel-wise permutation,normal
0.0,0.0,0.1,2.25,2,Voxel-wise permutation,normal
0.0,0.0,0.1,2.5,2,Voxel-wise permutation,normal
0.0,0.0,0.1,2.75,2,Voxel-wise permutation,normal
0.0,0.0,0.1,3.0,2,Voxel-wise permutation,normal
0.0013333333333333,0.0,0.1,0.0,5,Voxel-wise permutation,normal
0.004,0.0,0.1,0.1,5,Voxel-wise permutation,normal
0.0013333333333333,1.1799410029498524e-05,0.1,0.25,5,Voxel-wise permutation,normal
0.0013333333333333,0.0,0.1,0.5,5,Voxel-wise permutation,normal
0.0013333333333333,2.359882005899705e-05,0.1,0.75,5,Voxel-wise permutation,normal
0.0013333333333333,0.0,0.1,1.0,5,Voxel-wise permutation,normal
0.0,1.1799410029498524e-05,0.1,1.25,5,Voxel-wise permutation,normal
0.0,3.5398230088495574e-05,0.1,1.5,5,Voxel-wise permutation,normal
0.0,8.259587020648968e-05,0.1,1.75,5,Voxel-wise permutation,normal
0.0026666666666666,8.259587020648968e-05,0.1,2.0,5,Voxel-wise permutation,normal
0.0026666666666666,9.43952802359882e-05,0.1,2.25,5,Voxel-wise permutation,normal
0.0013333333333333,0.0001297935103244,0.1,2.5,5,Voxel-wise permutation,normal
0.0013333333333333,0.0001179941002949,0.1,2.75,5,Voxel-wise permutation,normal
0.0026666666666666,0.0001297935103244,0.1,3.0,5,Voxel-wise permutation,normal
0.048,0.0,0.1,0.0,7,Voxel-wise permutation,normal
0.0373333333333333,1.1799410029498524e-05,0.1,0.1,7,Voxel-wise permutation,normal
0.044,4.71976401179941e-05,0.1,0.25,7,Voxel-wise permutation,normal
0.0373333333333333,8.259587020648968e-05,0.1,0.5,7,Voxel-wise permutation,normal
0.0386666666666666,0.0003067846607669,0.1,0.75,7,Voxel-wise permutation,normal
0.0373333333333333,0.0009085545722713,0.1,1.0,7,Voxel-wise permutation,normal
0.0386666666666666,0.0022772861356932,0.1,1.25,7,Voxel-wise permutation,normal
0.0413333333333333,0.0045899705014749,0.1,1.5,7,Voxel-wise permutation,normal
0.0493333333333333,0.0090619469026548,0.1,1.75,7,Voxel-wise permutation,normal
0.044,0.0164837758112094,0.1,2.0,7,Voxel-wise permutation,normal
0.04,0.027716814159292,0.1,2.25,7,Voxel-wise permutation,normal
0.0386666666666666,0.0452389380530973,0.1,2.5,7,Voxel-wise permutation,normal
0.04,0.0660884955752212,0.1,2.75,7,Voxel-wise permutation,normal
0.0573333333333333,0.099480825958702,0.1,3.0,7,Voxel-wise permutation,normal
0.0373333333333333,0.0,0.1,0.0,10,Voxel-wise permutation,normal
0.0533333333333333,1.1799410029498524e-05,0.1,0.1,10,Voxel-wise permutation,normal
0.04,8.259587020648968e-05,0.1,0.25,10,Voxel-wise permutation,normal
0.044,0.0003657817109144,0.1,0.5,10,Voxel-wise permutation,normal
0.0586666666666666,0.0014867256637168,0.1,0.75,10,Voxel-wise permutation,normal
0.0493333333333333,0.0059469026548672,0.1,1.0,10,Voxel-wise permutation,normal
0.0573333333333333,0.0185250737463126,0.1,1.25,10,Voxel-wise permutation,normal
0.044,0.0461828908554572,0.1,1.5,10,Voxel-wise permutation,normal
0.064,0.0998702064896755,0.1,1.75,10,Voxel-wise permutation,normal
0.0413333333333333,0.1809557522123893,0.1,2.0,10,Voxel-wise permutation,normal
0.04,0.2960825958702064,0.1,2.25,10,Voxel-wise permutation,normal
0.056,0.4323067846607669,0.1,2.5,10,Voxel-wise permutation,normal
0.0493333333333333,0.5709026548672567,0.1,2.75,10,Voxel-wise permutation,normal
0.0346666666666666,0.6994454277286134,0.1,3.0,10,Voxel-wise permutation,normal
0.06,0.0,0.1,0.0,15,Voxel-wise permutation,normal
0.0426666666666666,2.359882005899705e-05,0.1,0.1,15,Voxel-wise permutation,normal
0.0493333333333333,0.0001061946902654,0.1,0.25,15,Voxel-wise permutation,normal
0.0493333333333333,0.0015103244837758,0.1,0.5,15,Voxel-wise permutation,normal
0.044,0.0106902654867256,0.1,0.75,15,Voxel-wise permutation,normal
0.0506666666666666,0.0478702064896755,0.1,1.0,15,Voxel-wise permutation,normal
0.0386666666666666,0.1532271386430678,0.1,1.25,15,Voxel-wise permutation,normal
0.0533333333333333,0.3463362831858407,0.1,1.5,15,Voxel-wise permutation,normal
0.0626666666666666,0.5831622418879056,0.1,1.75,15,Voxel-wise permutation,normal
0.052,0.7931681415929203,0.1,2.0,15,Voxel-wise permutation,normal
0.0373333333333333,0.9219233038348082,0.1,2.25,15,Voxel-wise permutation,normal
0.0413333333333333,0.9763657817109144,0.1,2.5,15,Voxel-wise permutation,normal
0.0386666666666666,0.9944542772861356,0.1,2.75,15,Voxel-wise permutation,normal
0.036,0.999174041297935,0.1,3.0,15,Voxel-wise permutation,normal
0.056,2.359882005899705e-05,0.1,0.0,20,Voxel-wise permutation,normal
0.0493333333333333,3.5398230088495574e-05,0.1,0.1,20,Voxel-wise permutation,normal
0.0426666666666666,0.0002595870206489,0.1,0.25,20,Voxel-wise permutation,normal
0.044,0.003882005899705,0.1,0.5,20,Voxel-wise permutation,normal
0.044,0.0376283185840707,0.1,0.75,20,Voxel-wise permutation,normal
0.0426666666666666,0.1715634218289085,0.1,1.0,20,Voxel-wise permutation,normal
0.0466666666666666,0.4527315634218289,0.1,1.25,20,Voxel-wise permutation,normal
0.0506666666666666,0.755882005899705,0.1,1.5,20,Voxel-wise permutation,normal
0.0346666666666666,0.9304070796460177,0.1,1.75,20,Voxel-wise permutation,normal
0.0546666666666666,0.9888023598820058,0.1,2.0,20,Voxel-wise permutation,normal
0.044,0.9988436578171092,0.1,2.25,20,Voxel-wise permutation,normal
0.056,0.9998938053097344,0.1,2.5,20,Voxel-wise permutation,normal
0.0506666666666666,1.0,0.1,2.75,20,Voxel-wise permutation,normal
0.032,1.0,0.1,3.0,20,Voxel-wise permutation,normal
0.0533333333333333,0.0,0.1,0.0,30,Voxel-wise permutation,normal
0.0573333333333333,8.259587020648968e-05,0.1,0.1,30,Voxel-wise permutation,normal
0.0533333333333333,0.0007433628318584,0.1,0.25,30,Voxel-wise permutation,normal
0.0426666666666666,0.0203067846607669,0.1,0.5,30,Voxel-wise permutation,normal
0.0426666666666666,0.1818407079646018,0.1,0.75,30,Voxel-wise permutation,normal
0.052,0.5904660766961651,0.1,1.0,30,Voxel-wise permutation,normal
0.056,0.9114690265486726,0.1,1.25,30,Voxel-wise permutation,normal
0.0586666666666666,0.9929439528023598,0.1,1.5,30,Voxel-wise permutation,normal
0.044,0.999787610619469,0.1,1.75,30,Voxel-wise permutation,normal
0.048,1.0,0.1,2.0,30,Voxel-wise permutation,normal
0.0613333333333333,1.0,0.1,2.25,30,Voxel-wise permutation,normal
0.0466666666666666,1.0,0.1,2.5,30,Voxel-wise permutation,normal
0.056,1.0,0.1,2.75,30,Voxel-wise permutation,normal
0.0533333333333333,1.0,0.1,3.0,30,Voxel-wise permutation,normal
0.04,2.359882005899705e-05,0.1,0.0,45,Voxel-wise permutation,normal
0.052,3.5398230088495574e-05,0.1,0.1,45,Voxel-wise permutation,normal
0.0533333333333333,0.0020412979351032,0.1,0.25,45,Voxel-wise permutation,normal
0.0546666666666666,0.0868082595870206,0.1,0.5,45,Voxel-wise permutation,normal
0.0493333333333333,0.5520825958702065,0.1,0.75,45,Voxel-wise permutation,normal
0.0466666666666666,0.9448259587020652,0.1,1.0,45,Voxel-wise permutation,normal
0.048,0.9989380530973452,0.1,1.25,45,Voxel-wise permutation,normal
0.06,1.0,0.1,1.5,45,Voxel-wise permutation,normal
0.0586666666666666,1.0,0.1,1.75,45,Voxel-wise permutation,normal
0.0573333333333333,1.0,0.1,2.0,45,Voxel-wise permutation,normal
0.036,1.0,0.1,2.25,45,Voxel-wise permutation,normal
0.0493333333333333,1.0,0.1,2.5,45,Voxel-wise permutation,normal
0.056,1.0,0.1,2.75,45,Voxel-wise permutation,normal
0.0453333333333333,1.0,0.1,3.0,45,Voxel-wise permutation,normal
0.052,1.1799410029498524e-05,0.1,0.0,60,Voxel-wise permutation,normal
0.0413333333333333,0.0001297935103244,0.1,0.1,60,Voxel-wise permutation,normal
0.0533333333333333,0.0047197640117994,0.1,0.25,60,Voxel-wise permutation,normal
0.0506666666666666,0.2121415929203539,0.1,0.5,60,Voxel-wise permutation,normal
0.0626666666666666,0.8357286135693215,0.1,0.75,60,Voxel-wise permutation,normal
0.0506666666666666,0.9969085545722712,0.1,1.0,60,Voxel-wise permutation,normal
0.0453333333333333,1.0,0.1,1.25,60,Voxel-wise permutation,normal
0.056,1.0,0.1,1.5,60,Voxel-wise permutation,normal
0.0546666666666666,1.0,0.1,1.75,60,Voxel-wise permutation,normal
0.0586666666666666,1.0,0.1,2.0,60,Voxel-wise permutation,normal
0.0626666666666666,1.0,0.1,2.25,60,Voxel-wise permutation,normal
0.0453333333333333,1.0,0.1,2.5,60,Voxel-wise permutation,normal
0.052,1.0,0.1,2.75,60,Voxel-wise permutation,normal
0.0533333333333333,1.0,0.1,3.0,60,Voxel-wise permutation,normal
0.0,0.0,0.25,0.0,2,Voxel-wise permutation,normal
0.0,0.0,0.25,0.1,2,Voxel-wise permutation,normal
0.0,0.0,0.25,0.25,2,Voxel-wise permutation,normal
0.0,0.0,0.25,0.5,2,Voxel-wise permutation,normal
0.0,0.0,0.25,0.75,2,Voxel-wise permutation,normal
0.0,0.0,0.25,1.0,2,Voxel-wise permutation,normal
0.0,0.0,0.25,1.25,2,Voxel-wise permutation,normal
0.0,0.0,0.25,1.5,2,Voxel-wise permutation,normal
0.0,0.0,0.25,1.75,2,Voxel-wise permutation,normal
0.0,0.0,0.25,2.0,2,Voxel-wise permutation,normal
0.0,0.0,0.25,2.25,2,Voxel-wise permutation,normal
0.0,0.0,0.25,2.5,2,Voxel-wise permutation,normal
0.0,0.0,0.25,2.75,2,Voxel-wise permutation,normal
0.0,0.0,0.25,3.0,2,Voxel-wise permutation,normal
0.0026666666666666,0.0,0.25,0.0,5,Voxel-wise permutation,normal
0.0,0.0,0.25,0.1,5,Voxel-wise permutation,normal
0.0,0.0,0.25,0.25,5,Voxel-wise permutation,normal
0.0026666666666666,1.1799410029498524e-05,0.25,0.5,5,Voxel-wise permutation,normal
0.0026666666666666,0.0,0.25,0.75,5,Voxel-wise permutation,normal
0.0013333333333333,0.0,0.25,1.0,5,Voxel-wise permutation,normal
0.0013333333333333,0.0,0.25,1.25,5,Voxel-wise permutation,normal
0.0013333333333333,3.5398230088495574e-05,0.25,1.5,5,Voxel-wise permutation,normal
0.0,4.71976401179941e-05,0.25,1.75,5,Voxel-wise permutation,normal
0.0026666666666666,0.0001179941002949,0.25,2.0,5,Voxel-wise permutation,normal
0.0013333333333333,9.43952802359882e-05,0.25,2.25,5,Voxel-wise permutation,normal
0.0013333333333333,0.0001651917404129,0.25,2.5,5,Voxel-wise permutation,normal
0.0,0.0001179941002949,0.25,2.75,5,Voxel-wise permutation,normal
0.0013333333333333,0.0003539823008849,0.25,3.0,5,Voxel-wise permutation,normal
0.0293333333333333,1.1799410029498524e-05,0.25,0.0,7,Voxel-wise permutation,normal
0.052,2.359882005899705e-05,0.25,0.1,7,Voxel-wise permutation,normal
0.044,4.71976401179941e-05,0.25,0.25,7,Voxel-wise permutation,normal
0.0373333333333333,4.71976401179941e-05,0.25,0.5,7,Voxel-wise permutation,normal
0.0466666666666666,0.0002713864306784,0.25,0.75,7,Voxel-wise permutation,normal
0.0506666666666666,0.0010147492625368,0.25,1.0,7,Voxel-wise permutation,normal
0.028,0.0025132743362831,0.25,1.25,7,Voxel-wise permutation,normal
0.0466666666666666,0.0046961651917404,0.25,1.5,7,Voxel-wise permutation,normal
0.0386666666666666,0.0091563421828908,0.25,1.75,7,Voxel-wise permutation,normal
0.0426666666666666,0.0164955752212389,0.25,2.0,7,Voxel-wise permutation,normal
0.0466666666666666,0.0278466076696165,0.25,2.25,7,Voxel-wise permutation,normal
0.044,0.0456755162241887,0.25,2.5,7,Voxel-wise permutation,normal
0.0346666666666666,0.0670678466076696,0.25,2.75,7,Voxel-wise permutation,normal
0.0466666666666666,0.099811209439528,0.25,3.0,7,Voxel-wise permutation,normal
0.0533333333333333,1.1799410029498524e-05,0.25,0.0,10,Voxel-wise permutation,normal
0.0493333333333333,1.1799410029498524e-05,0.25,0.1,10,Voxel-wise permutation,normal
0.0466666666666666,9.43952802359882e-05,0.25,0.25,10,Voxel-wise permutation,normal
0.04,0.0002595870206489,0.25,0.5,10,Voxel-wise permutation,normal
0.048,0.0015457227138643,0.25,0.75,10,Voxel-wise permutation,normal
0.044,0.0060530973451327,0.25,1.0,10,Voxel-wise permutation,normal
0.048,0.0184070796460177,0.25,1.25,10,Voxel-wise permutation,normal
0.052,0.0463126843657817,0.25,1.5,10,Voxel-wise permutation,normal
0.0653333333333333,0.0993982300884955,0.25,1.75,10,Voxel-wise permutation,normal
0.0413333333333333,0.1825840707964601,0.25,2.0,10,Voxel-wise permutation,normal
0.0493333333333333,0.295174041297935,0.25,2.25,10,Voxel-wise permutation,normal
0.0506666666666666,0.4287787610619469,0.25,2.5,10,Voxel-wise permutation,normal
0.064,0.571410029498525,0.25,2.75,10,Voxel-wise permutation,normal
0.052,0.6995870206489675,0.25,3.0,10,Voxel-wise permutation,normal
0.056,0.0,0.25,0.0,15,Voxel-wise permutation,normal
0.044,2.359882005899705e-05,0.25,0.1,15,Voxel-wise permutation,normal
0.0506666666666666,0.0001297935103244,0.25,0.25,15,Voxel-wise permutation,normal
0.06,0.0014041297935103,0.25,0.5,15,Voxel-wise permutation,normal
0.0466666666666666,0.0099233038348082,0.25,0.75,15,Voxel-wise permutation,normal
0.0466666666666666,0.0495221238938053,0.25,1.0,15,Voxel-wise permutation,normal
0.0413333333333333,0.1538525073746312,0.25,1.25,15,Voxel-wise permutation,normal
0.0493333333333333,0.3460058997050148,0.25,1.5,15,Voxel-wise permutation,normal
0.0573333333333333,0.5888967551622419,0.25,1.75,15,Voxel-wise permutation,normal
0.0453333333333333,0.7964837758112095,0.25,2.0,15,Voxel-wise permutation,normal
0.0573333333333333,0.920401179941003,0.25,2.25,15,Voxel-wise permutation,normal
0.044,0.9771445427728612,0.25,2.5,15,Voxel-wise permutation,normal
0.0333333333333333,0.9945486725663716,0.25,2.75,15,Voxel-wise permutation,normal
0.052,0.99929203539823,0.25,3.0,15,Voxel-wise permutation,normal
0.04,1.1799410029498524e-05,0.25,0.0,20,Voxel-wise permutation,normal
0.0386666666666666,1.1799410029498524e-05,0.25,0.1,20,Voxel-wise permutation,normal
0.0426666666666666,0.0002595870206489,0.25,0.25,20,Voxel-wise permutation,normal
