fwer,sensitivity,sm_sigma,snr,n,method
0.05,0.0,0.0,0.0,2,voxelwise_rft
0.05,0.0,0.0,0.1,2,voxelwise_rft
0.15,0.0,0.0,0.25,2,voxelwise_rft
0.0,0.0,0.0,0.5,2,voxelwise_rft
0.15,0.001327433628318584,0.0,0.75,2,voxelwise_rft
0.05,0.0,0.0,1.0,2,voxelwise_rft
0.0,0.0,0.0,1.25,2,voxelwise_rft
0.05,0.0,0.0,1.5,2,voxelwise_rft
0.1,0.015044247787610621,0.0,1.75,2,voxelwise_rft
0.1,0.0,0.0,2.0,2,voxelwise_rft
0.2,0.0008849557522123894,0.0,2.25,2,voxelwise_rft
0.0,0.0,0.0,2.5,2,voxelwise_rft
0.0,0.0,0.0,2.75,2,voxelwise_rft
0.05,0.0,0.0,3.0,2,voxelwise_rft
0.0,0.0,0.1,0.0,2,voxelwise_rft
0.05,0.015486725663716814,0.1,0.1,2,voxelwise_rft
0.0,0.0,0.1,0.25,2,voxelwise_rft
0.05,0.0,0.1,0.5,2,voxelwise_rft
0.15,0.022123893805309734,0.1,0.75,2,voxelwise_rft
0.05,0.0004424778761061947,0.1,1.0,2,voxelwise_rft
0.1,0.004424778761061947,0.1,1.25,2,voxelwise_rft
0.0,0.0,0.1,1.5,2,voxelwise_rft
0.1,0.0,0.1,1.75,2,voxelwise_rft
0.1,0.02345132743362832,0.1,2.0,2,voxelwise_rft
0.1,0.0,0.1,2.25,2,voxelwise_rft
0.0,0.0,0.1,2.5,2,voxelwise_rft
0.1,0.029646017699115047,0.1,2.75,2,voxelwise_rft
0.15,0.0,0.1,3.0,2,voxelwise_rft
0.15,0.0,0.25,0.0,2,voxelwise_rft
0.0,0.0,0.25,0.1,2,voxelwise_rft
0.05,0.0,0.25,0.25,2,voxelwise_rft
0.15,0.0003355704697986577,0.25,0.5,2,voxelwise_rft
0.05,0.0003355704697986577,0.25,0.75,2,voxelwise_rft
0.0,0.0,0.25,1.0,2,voxelwise_rft
0.05,0.0003355704697986577,0.25,1.25,2,voxelwise_rft
0.05,0.0003355704697986577,0.25,1.5,2,voxelwise_rft
0.05,0.0,0.25,1.75,2,voxelwise_rft
0.0,0.0,0.25,2.0,2,voxelwise_rft
0.05,0.0,0.25,2.25,2,voxelwise_rft
0.0,0.0,0.25,2.5,2,voxelwise_rft
0.15,0.0006711409395973154,0.25,2.75,2,voxelwise_rft
0.1,0.001006711409395973,0.25,3.0,2,voxelwise_rft
0.05,0.007276995305164319,0.5,0.0,2,voxelwise_rft
0.05,0.0,0.5,0.1,2,voxelwise_rft
0.1,0.0007042253521126761,0.5,0.25,2,voxelwise_rft
0.1,0.005164319248826292,0.5,0.5,2,voxelwise_rft
0.05,0.00023474178403755868,0.5,0.75,2,voxelwise_rft
0.0,0.0,0.5,1.0,2,voxelwise_rft
0.05,0.0,0.5,1.25,2,voxelwise_rft
0.0,0.0,0.5,1.5,2,voxelwise_rft
0.05,0.00046948356807511736,0.5,1.75,2,voxelwise_rft
0.1,0.003051643192488263,0.5,2.0,2,voxelwise_rft
0.1,0.0,0.5,2.25,2,voxelwise_rft
0.05,0.015258215962441316,0.5,2.5,2,voxelwise_rft
0.05,0.0,0.5,2.75,2,voxelwise_rft
0.05,0.00023474178403755868,0.5,3.0,2,voxelwise_rft
0.05,0.0,0.75,0.0,2,voxelwise_rft
0.1,0.0,0.75,0.1,2,voxelwise_rft
0.0,0.0,0.75,0.25,2,voxelwise_rft
0.05,0.0,0.75,0.5,2,voxelwise_rft
0.0,0.0,0.75,0.75,2,voxelwise_rft
0.1,0.00017543859649122808,0.75,1.0,2,voxelwise_rft
0.0,0.0,0.75,1.25,2,voxelwise_rft
0.05,0.0,0.75,1.5,2,voxelwise_rft
0.05,0.00017543859649122808,0.75,1.75,2,voxelwise_rft
0.05,0.0,0.75,2.0,2,voxelwise_rft
0.1,0.00035087719298245617,0.75,2.25,2,voxelwise_rft
0.0,0.0,0.75,2.5,2,voxelwise_rft
0.1,0.0005263157894736842,0.75,2.75,2,voxelwise_rft
0.0,0.0,0.75,3.0,2,voxelwise_rft
0.0,0.0,1.0,0.0,2,voxelwise_rft
0.15,0.00014326647564469913,1.0,0.1,2,voxelwise_rft
0.1,0.0005730659025787965,1.0,0.25,2,voxelwise_rft
0.05,0.00028653295128939826,1.0,0.5,2,voxelwise_rft
0.0,0.0,1.0,0.75,2,voxelwise_rft
0.1,0.0,1.0,1.0,2,voxelwise_rft
0.2,0.0011461318051575933,1.0,1.25,2,voxelwise_rft
0.05,0.00028653295128939826,1.0,1.5,2,voxelwise_rft
0.0,0.0,1.0,1.75,2,voxelwise_rft
0.1,0.001146131805157593,1.0,2.0,2,voxelwise_rft
0.0,0.0,1.0,2.25,2,voxelwise_rft
0.1,0.0,1.0,2.5,2,voxelwise_rft
0.0,0.0,1.0,2.75,2,voxelwise_rft
0.1,0.0007163323782234957,1.0,3.0,2,voxelwise_rft
0.15,0.0,1.25,0.0,2,voxelwise_rft
0.05,0.0,1.25,0.1,2,voxelwise_rft
0.05,0.0,1.25,0.25,2,voxelwise_rft
0.0,0.0,1.25,0.5,2,voxelwise_rft
0.05,0.016783216783216783,1.25,0.75,2,voxelwise_rft
0.05,0.00034965034965034965,1.25,1.0,2,voxelwise_rft
0.1,0.0009324009324009324,1.25,1.25,2,voxelwise_rft
0.1,0.0004662004662004662,1.25,1.5,2,voxelwise_rft
0.15,0.008508158508158508,1.25,1.75,2,voxelwise_rft
0.05,0.0002331002331002331,1.25,2.0,2,voxelwise_rft
0.05,0.0002331002331002331,1.25,2.25,2,voxelwise_rft
0.3,0.0015151515151515152,1.25,2.5,2,voxelwise_rft
0.0,0.0,1.25,2.75,2,voxelwise_rft
0.15,0.0004662004662004662,1.25,3.0,2,voxelwise_rft
0.15,9.823182711198428e-05,1.5,0.0,2,voxelwise_rft
0.2,0.0,1.5,0.1,2,voxelwise_rft
0.05,9.823182711198428e-05,1.5,0.25,2,voxelwise_rft
0.1,0.0005893909626719057,1.5,0.5,2,voxelwise_rft
0.05,0.00029469548133595285,1.5,0.75,2,voxelwise_rft
0.2,0.0004911591355599214,1.5,1.0,2,voxelwise_rft
0.2,0.0005893909626719057,1.5,1.25,2,voxelwise_rft
0.15,0.0047151277013752465,1.5,1.5,2,voxelwise_rft
0.05,0.0002946954813359528,1.5,1.75,2,voxelwise_rft
0.15,0.0011787819253438114,1.5,2.0,2,voxelwise_rft
0.05,0.00412573673870334,1.5,2.25,2,voxelwise_rft
0.05,0.0,1.5,2.5,2,voxelwise_rft
0.15,0.0004911591355599214,1.5,2.75,2,voxelwise_rft
0.15,0.0,1.5,3.0,2,voxelwise_rft
0.1,0.0001652892561983471,1.75,0.0,2,voxelwise_rft
0.15,0.0,1.75,0.1,2,voxelwise_rft
0.15,8.264462809917355e-05,1.75,0.25,2,voxelwise_rft
