fwer,sensitivity,sm_sigma,snr,n,method,distribution
0.050666666666666665,0.0,0.0,0.0,2,Bonferroni,t
0.03866666666666667,1.1799410029498525e-05,0.0,0.1,2,Bonferroni,t
0.03866666666666667,0.0,0.0,0.25,2,Bonferroni,t
0.03866666666666667,3.5398230088495574e-05,0.0,0.5,2,Bonferroni,t
0.03333333333333333,4.71976401179941e-05,0.0,0.75,2,Bonferroni,t
0.03866666666666667,0.0,0.0,1.0,2,Bonferroni,t
0.04666666666666667,2.359882005899705e-05,0.0,1.25,2,Bonferroni,t
0.06,2.359882005899705e-05,0.0,1.5,2,Bonferroni,t
0.030666666666666665,4.71976401179941e-05,0.0,1.75,2,Bonferroni,t
0.036,2.359882005899705e-05,0.0,2.0,2,Bonferroni,t
0.030666666666666665,3.5398230088495574e-05,0.0,2.25,2,Bonferroni,t
0.03866666666666667,2.359882005899705e-05,0.0,2.5,2,Bonferroni,t
0.03333333333333333,3.5398230088495574e-05,0.0,2.75,2,Bonferroni,t
0.04666666666666667,9.43952802359882e-05,0.0,3.0,2,Bonferroni,t
0.044,2.359882005899705e-05,0.1,0.0,2,Bonferroni,t
0.04666666666666667,0.0,0.1,0.1,2,Bonferroni,t
0.03866666666666667,0.0,0.1,0.25,2,Bonferroni,t
0.044,0.0,0.1,0.5,2,Bonferroni,t
0.04666666666666667,1.1799410029498525e-05,0.1,0.75,2,Bonferroni,t
0.05333333333333334,2.359882005899705e-05,0.1,1.0,2,Bonferroni,t
0.036,3.5398230088495574e-05,0.1,1.25,2,Bonferroni,t
0.042666666666666665,5.899705014749262e-05,0.1,1.5,2,Bonferroni,t
0.03866666666666667,2.359882005899705e-05,0.1,1.75,2,Bonferroni,t
0.03333333333333333,7.079646017699115e-05,0.1,2.0,2,Bonferroni,t
0.034666666666666665,3.5398230088495574e-05,0.1,2.25,2,Bonferroni,t
0.04133333333333333,3.5398230088495574e-05,0.1,2.5,2,Bonferroni,t
0.03333333333333333,4.71976401179941e-05,0.1,2.75,2,Bonferroni,t
0.04,4.71976401179941e-05,0.1,3.0,2,Bonferroni,t
0.03866666666666667,1.1799410029498525e-05,0.25,0.0,2,Bonferroni,t
0.048,1.1799410029498525e-05,0.25,0.1,2,Bonferroni,t
0.042666666666666665,0.0,0.25,0.25,2,Bonferroni,t
0.036,0.0,0.25,0.5,2,Bonferroni,t
0.04133333333333333,0.0,0.25,0.75,2,Bonferroni,t
0.052,0.0,0.25,1.0,2,Bonferroni,t
0.037333333333333336,1.1799410029498525e-05,0.25,1.25,2,Bonferroni,t
0.03866666666666667,4.71976401179941e-05,0.25,1.5,2,Bonferroni,t
0.034666666666666665,4.71976401179941e-05,0.25,1.75,2,Bonferroni,t
0.032,8.259587020648968e-05,0.25,2.0,2,Bonferroni,t
0.04533333333333334,4.71976401179941e-05,0.25,2.25,2,Bonferroni,t
0.036,3.5398230088495574e-05,0.25,2.5,2,Bonferroni,t
0.037333333333333336,0.0,0.25,2.75,2,Bonferroni,t
0.04,4.71976401179941e-05,0.25,3.0,2,Bonferroni,t
0.037333333333333336,7.889546351084813e-06,0.5,0.0,2,Bonferroni,t
0.050666666666666665,0.0,0.5,0.1,2,Bonferroni,t
0.034666666666666665,1.5779092702169626e-05,0.5,0.25,2,Bonferroni,t
0.032,0.0,0.5,0.5,2,Bonferroni,t
0.034666666666666665,7.889546351084813e-06,0.5,0.75,2,Bonferroni,t
0.04133333333333333,1.5779092702169626e-05,0.5,1.0,2,Bonferroni,t
0.034666666666666665,4.7337278106508875e-05,0.5,1.25,2,Bonferroni,t
0.04933333333333333,6.31163708086785e-05,0.5,1.5,2,Bonferroni,t
0.034666666666666665,3.155818540433925e-05,0.5,1.75,2,Bonferroni,t
0.03866666666666667,5.522682445759368e-05,0.5,2.0,2,Bonferroni,t
0.044,1.5779092702169626e-05,0.5,2.25,2,Bonferroni,t
0.05333333333333334,3.155818540433925e-05,0.5,2.5,2,Bonferroni,t
0.06133333333333333,4.7337278106508875e-05,0.5,2.75,2,Bonferroni,t
0.042666666666666665,2.3668639053254438e-05,0.5,3.0,2,Bonferroni,t
0.04133333333333333,0.0,0.75,0.0,2,Bonferroni,t
0.04666666666666667,0.0,0.75,0.1,2,Bonferroni,t
0.03333333333333333,6.259780907668232e-06,0.75,0.25,2,Bonferroni,t
0.036,2.5039123630672928e-05,0.75,0.5,2,Bonferroni,t
0.042666666666666665,2.5039123630672928e-05,0.75,0.75,2,Bonferroni,t
0.05466666666666667,6.259780907668232e-06,0.75,1.0,2,Bonferroni,t
0.03866666666666667,3.129890453834116e-05,0.75,1.25,2,Bonferroni,t
0.04533333333333334,1.8779342723004694e-05,0.75,1.5,2,Bonferroni,t
0.052,2.5039123630672928e-05,0.75,1.75,2,Bonferroni,t
0.052,5.6338028169014086e-05,0.75,2.0,2,Bonferroni,t
0.048,6.885758998435054e-05,0.75,2.25,2,Bonferroni,t
0.04933333333333333,3.755868544600939e-05,0.75,2.5,2,Bonferroni,t
0.04666666666666667,2.5039123630672928e-05,0.75,2.75,2,Bonferroni,t
0.04533333333333334,6.259780907668232e-05,0.75,3.0,2,Bonferroni,t
0.044,2.5542784163473817e-05,1.0,0.0,2,Bonferroni,t
0.037333333333333336,5.108556832694763e-06,1.0,0.1,2,Bonferroni,t
0.04933333333333333,1.0217113665389527e-05,1.0,0.25,2,Bonferroni,t
0.037333333333333336,2.5542784163473817e-05,1.0,0.5,2,Bonferroni,t
0.04533333333333334,2.0434227330779053e-05,1.0,0.75,2,Bonferroni,t
0.04666666666666667,3.065134099616858e-05,1.0,1.0,2,Bonferroni,t
0.050666666666666665,3.575989782886334e-05,1.0,1.25,2,Bonferroni,t
0.034666666666666665,5.108556832694763e-05,1.0,1.5,2,Bonferroni,t
0.04666666666666667,4.0868454661558106e-05,1.0,1.75,2,Bonferroni,t
0.04666666666666667,3.065134099616858e-05,1.0,2.0,2,Bonferroni,t
0.034666666666666665,6.641123882503192e-05,1.0,2.25,2,Bonferroni,t
0.04133333333333333,4.597701149425287e-05,1.0,2.5,2,Bonferroni,t
0.04666666666666667,4.0868454661558106e-05,1.0,2.75,2,Bonferroni,t
0.044,9.706257982120052e-05,1.0,3.0,2,Bonferroni,t
0.04933333333333333,1.36518771331058e-05,1.25,0.0,2,Bonferroni,t
0.042666666666666665,1.820250284414107e-05,1.25,0.1,2,Bonferroni,t
0.03333333333333333,1.36518771331058e-05,1.25,0.25,2,Bonferroni,t
0.064,1.36518771331058e-05,1.25,0.5,2,Bonferroni,t
0.030666666666666665,9.101251422070536e-06,1.25,0.75,2,Bonferroni,t
0.03333333333333333,1.820250284414107e-05,1.25,1.0,2,Bonferroni,t
0.04666666666666667,3.185437997724687e-05,1.25,1.25,2,Bonferroni,t
0.04533333333333334,7.281001137656428e-05,1.25,1.5,2,Bonferroni,t
0.052,4.09556313993174e-05,1.25,1.75,2,Bonferroni,t
0.04,6.370875995449375e-05,1.25,2.0,2,Bonferroni,t
0.05466666666666667,2.73037542662116e-05,1.25,2.25,2,Bonferroni,t
0.02666666666666667,6.825938566552901e-05,1.25,2.5,2,Bonferroni,t
0.032,5.005688282138794e-05,1.25,2.75,2,Bonferroni,t
0.04666666666666667,1.820250284414107e-05,1.25,3.0,2,Bonferroni,t
0.030666666666666665,1.5640273704789833e-05,1.5,0.0,2,Bonferroni,t
0.030666666666666665,1.5640273704789833e-05,1.5,0.1,2,Bonferroni,t
0.04933333333333333,2.3460410557184748e-05,1.5,0.25,2,Bonferroni,t
0.042666666666666665,1.1730205278592374e-05,1.5,0.5,2,Bonferroni,t
0.036,4.301075268817204e-05,1.5,0.75,2,Bonferroni,t
0.05466666666666667,1.5640273704789833e-05,1.5,1.0,2,Bonferroni,t
0.02666666666666667,3.1280547409579666e-05,1.5,1.25,2,Bonferroni,t
0.03866666666666667,3.1280547409579666e-05,1.5,1.5,2,Bonferroni,t
0.036,3.1280547409579666e-05,1.5,1.75,2,Bonferroni,t
0.05466666666666667,4.301075268817204e-05,1.5,2.0,2,Bonferroni,t
0.03333333333333333,6.647116324535679e-05,1.5,2.25,2,Bonferroni,t
0.052,5.083088954056695e-05,1.5,2.5,2,Bonferroni,t
0.034666666666666665,6.647116324535679e-05,1.5,2.75,2,Bonferroni,t
0.04666666666666667,9.775171065493645e-05,1.5,3.0,2,Bonferroni,t
0.036,6.650041562759767e-06,1.75,0.0,2,Bonferroni,t
0.037333333333333336,6.650041562759767e-06,1.75,0.1,2,Bonferroni,t
0.037333333333333336,9.97506234413965e-06,1.75,0.25,2,Bonferroni,t
0.04,2.3275145469659183e-05,1.75,0.5,2,Bonferroni,t
0.048,3.325020781379884e-05,1.75,0.75,2,Bonferroni,t
0.044,3.325020781379884e-05,1.75,1.0,2,Bonferroni,t
0.034666666666666665,5.3200332502078136e-05,1.75,1.25,2,Bonferroni,t
0.04933333333333333,3.325020781379884e-05,1.75,1.5,2,Bonferroni,t
