FWER,sensitivity,sm_sigma,snr,n_subj,method,threshold_u,FWHM
0.0,0.0,0.0,0.0,2,Clusterwise RFT,2.8,2.369417582117997
0.0,0.0,0.0,0.0,5,Clusterwise RFT,2.8,2.357427389412997
0.0,0.0,0.0,0.0,7,Clusterwise RFT,2.8,2.3546593673936163
0.0,0.0,0.0,0.0,10,Clusterwise RFT,2.8,2.3619304203354896
0.0,0.0,0.0,0.0,15,Clusterwise RFT,2.8,2.358327700187912
0.0,0.0,0.0,0.0,20,Clusterwise RFT,2.8,2.3620445312620686
0.0,0.0,0.0,0.0,30,Clusterwise RFT,2.8,2.355202809628636
0.0,0.0,0.0,0.0,45,Clusterwise RFT,2.8,2.354798735170765
0.0,0.0,0.0,0.0,60,Clusterwise RFT,2.8,2.3546709156243564
0.0,0.0,0.0,0.1,2,Clusterwise RFT,2.8,2.3607680428552493
0.0,0.0,0.0,0.1,5,Clusterwise RFT,2.8,2.3521314072295807
0.0,0.0,0.0,0.1,7,Clusterwise RFT,2.8,2.3583505106601805
0.0,0.0,0.0,0.1,10,Clusterwise RFT,2.8,2.3567262625123893
0.0,0.0,0.0,0.1,15,Clusterwise RFT,2.8,2.3504718011773584
0.0,0.0,0.0,0.1,20,Clusterwise RFT,2.8,2.3506393252225766
0.0,0.0,0.0,0.1,30,Clusterwise RFT,2.8,2.3501519646507587
0.0,0.0,0.0,0.1,45,Clusterwise RFT,2.8,2.3512723844163386
0.0,0.0,0.0,0.1,60,Clusterwise RFT,2.8,2.3529320698901377
0.0,0.0,0.0,0.25,2,Clusterwise RFT,2.8,2.34229238965998
0.0,0.0,0.0,0.25,5,Clusterwise RFT,2.8,2.3592980220739985
0.0,0.0,0.0,0.25,7,Clusterwise RFT,2.8,2.347679153703315
0.0,0.0,0.0,0.25,10,Clusterwise RFT,2.8,2.3535866889642576
0.0,0.0,0.0,0.25,15,Clusterwise RFT,2.8,2.3539056914363123
