FWER,sensitivity,sm_sigma,snr,n_subj,method,threshold_u,FWHM
0.0,0.0,0.0,0.0,2,Clusterwise RFT,2.8,2.367668875320453
0.0,0.0,0.0,0.0,5,Clusterwise RFT,2.8,2.364643980292784
0.0,0.0,0.0,0.0,7,Clusterwise RFT,2.8,2.4029339445935394
0.0,0.0,0.0,0.0,10,Clusterwise RFT,2.8,2.3469340139138755
0.0,0.0,0.0,0.0,15,Clusterwise RFT,2.8,2.3557330252300597
0.0,0.0,0.0,0.0,20,Clusterwise RFT,2.8,2.354136741502407
0.0,0.0,0.0,0.0,30,Clusterwise RFT,2.8,2.3605111560273144
0.0,0.0,0.0,0.0,45,Clusterwise RFT,2.8,2.7087554223259653
0.0,0.0,0.0,0.0,60,Clusterwise RFT,2.8,2.359812011477377
0.0,0.0,0.0,0.1,2,Clusterwise RFT,2.8,2.3362287077234702
0.0,0.0,0.0,0.1,5,Clusterwise RFT,2.8,2.3571001991841043
0.0,0.0,0.0,0.1,7,Clusterwise RFT,2.8,2.3318970162067125
0.0,0.0,0.0,0.1,10,Clusterwise RFT,2.8,2.3458265797451667
0.0,0.0,0.0,0.1,15,Clusterwise RFT,2.8,2.3675516080284877
0.0,0.0,0.0,0.1,20,Clusterwise RFT,2.8,2.3474790464936284
0.0,0.0,0.0,0.1,30,Clusterwise RFT,2.8,2.354079518560556
0.0,0.0,0.0,0.1,45,Clusterwise RFT,2.8,2.3518994496461403
0.0,0.0,0.0,0.1,60,Clusterwise RFT,2.8,2.3386163673289166
0.0,0.0,0.0,0.25,2,Clusterwise RFT,2.8,2.3869307002778157
0.0,0.0,0.0,0.25,5,Clusterwise RFT,2.8,2.3583806929862297
0.0,0.0,0.0,0.25,7,Clusterwise RFT,2.8,2.369458128427622
0.0,0.0,0.0,0.25,10,Clusterwise RFT,2.8,2.3590214196046517
0.0,0.0,0.0,0.25,15,Clusterwise RFT,2.8,2.3559309733907843
0.0,0.0,0.0,0.25,20,Clusterwise RFT,2.8,2.3508170977420333
0.0,0.0,0.0,0.25,30,Clusterwise RFT,2.8,2.3546474270638353
0.0,0.0,0.0,0.25,45,Clusterwise RFT,2.8,2.349911752928843
0.0,0.00010029498525073747,0.0,0.25,60,Clusterwise RFT,2.8,2.353028006874201
0.0,0.0,0.0,0.5,2,Clusterwise RFT,2.8,2.367312940398001
0.0,0.0,0.0,0.5,5,Clusterwise RFT,2.8,2.349332615461368
0.0,0.0,0.0,0.5,7,Clusterwise RFT,2.8,2.3318332036261094
0.0,0.0,0.0,0.5,10,Clusterwise RFT,2.8,2.3616516189931187
0.0,0.0,0.0,0.5,15,Clusterwise RFT,2.8,2.3337089340979658
0.0,0.00034218289085545723,0.0,0.5,20,Clusterwise RFT,2.8,2.35462652778716
0.0006666666666667043,0.007899705014749262,0.0,0.5,30,Clusterwise RFT,2.8,2.3543987138051627
0.010666666666666713,0.08736873156342184,0.0,0.5,45,Clusterwise RFT,2.8,2.356004268675932
0.028666666666666618,0.25436578171091445,0.0,0.5,60,Clusterwise RFT,2.8,2.354247078063216
0.0,0.0,0.0,0.75,2,Clusterwise RFT,2.8,2.321078405676395
0.0,0.0,0.0,0.75,5,Clusterwise RFT,2.8,2.3477274245900324
0.0,0.0,0.0,0.75,7,Clusterwise RFT,2.8,2.354505365650038
0.0,0.000584070796460177,0.0,0.75,10,Clusterwise RFT,2.8,2.383401257941697
0.0,0.016117994100294988,0.0,0.75,15,Clusterwise RFT,2.8,2.360142864957373
0.014666666666666717,0.09295575221238937,0.0,0.75,20,Clusterwise RFT,2.8,2.3465270536412963
0.05133333333333334,0.3461710914454278,0.0,0.75,30,Clusterwise RFT,2.8,2.3510225596603185
0.07466666666666666,0.6013510324483776,0.0,0.75,45,Clusterwise RFT,2.8,2.3564241387483738
0.07133333333333336,0.7447020648967552,0.0,0.75,60,Clusterwise RFT,2.8,2.349950159322905
