fwer,sensitivity,sm_sigma,snr,n,method
0.06,0.0009321533923303,0.0,0.0,2,voxelwise_rft
0.0426666666666666,0.0005073746312684,0.0,0.1,2,voxelwise_rft
0.0573333333333333,0.0005427728613569,0.0,0.25,2,voxelwise_rft
0.06,0.0015929203539823,0.0,0.5,2,voxelwise_rft
0.06,0.0012153392330383,0.0,0.75,2,voxelwise_rft
0.0706666666666666,0.0006017699115044,0.0,1.0,2,voxelwise_rft
0.0773333333333333,0.0018761061946902,0.0,1.25,2,voxelwise_rft
0.0586666666666666,0.003551622418879,0.0,1.5,2,voxelwise_rft
0.0786666666666666,0.0028908554572271,0.0,1.75,2,voxelwise_rft
0.0546666666666666,0.0024188790560471,0.0,2.0,2,voxelwise_rft
0.0453333333333333,0.0016519174041297,0.0,2.25,2,voxelwise_rft
0.0866666666666666,0.0019115044247787,0.0,2.5,2,voxelwise_rft
0.0693333333333333,0.0044837758112094,0.0,2.75,2,voxelwise_rft
0.0693333333333333,0.0011917404129793,0.0,3.0,2,voxelwise_rft
0.0586666666666666,0.0006135693215339,0.1,0.0,2,voxelwise_rft
0.0453333333333333,0.0005545722713864,0.1,0.1,2,voxelwise_rft
0.0693333333333333,0.0002595870206489,0.1,0.25,2,voxelwise_rft
0.0693333333333333,0.0013215339233038,0.1,0.5,2,voxelwise_rft
0.0746666666666666,0.0008967551622418,0.1,0.75,2,voxelwise_rft
0.0653333333333333,0.0008495575221238,0.1,1.0,2,voxelwise_rft
0.0706666666666666,0.0024660766961651,0.1,1.25,2,voxelwise_rft
0.068,0.0007787610619469,0.1,1.5,2,voxelwise_rft
0.0786666666666666,0.0017581120943952,0.1,1.75,2,voxelwise_rft
0.0693333333333333,0.0012743362831858,0.1,2.0,2,voxelwise_rft
0.0586666666666666,0.0018525073746312,0.1,2.25,2,voxelwise_rft
0.056,0.0033982300884955,0.1,2.5,2,voxelwise_rft
0.0733333333333333,0.0068436578171091,0.1,2.75,2,voxelwise_rft
0.0546666666666666,0.0025250737463126,0.1,3.0,2,voxelwise_rft
