fwer,sensitivity,sm_sigma,snr,n,method
0.0,0.0,0.0,0.0,2,voxelwise_rft
0.1,0.0,0.0,0.1,2,voxelwise_rft
0.0,0.0,0.0,0.25,2,voxelwise_rft
0.0,0.0,0.0,0.5,2,voxelwise_rft
0.05,0.0,0.0,0.75,2,voxelwise_rft
0.05,0.0008849557522123894,0.0,1.0,2,voxelwise_rft
0.1,0.0008849557522123894,0.0,1.25,2,voxelwise_rft
0.05,0.0008849557522123894,0.0,1.5,2,voxelwise_rft
0.05,0.017256637168141593,0.0,1.75,2,voxelwise_rft
0.2,0.0004424778761061947,0.0,2.0,2,voxelwise_rft
0.0,0.0004424778761061947,0.0,2.25,2,voxelwise_rft
0.0,0.0,0.0,2.5,2,voxelwise_rft
0.05,0.0,0.0,2.75,2,voxelwise_rft
0.15,0.0004424778761061947,0.0,3.0,2,voxelwise_rft
0.1,0.0,0.1,0.0,2,voxelwise_rft
0.05,0.0,0.1,0.1,2,voxelwise_rft
0.05,0.0,0.1,0.25,2,voxelwise_rft
0.05,0.0,0.1,0.5,2,voxelwise_rft
0.1,0.003982300884955752,0.1,0.75,2,voxelwise_rft
0.0,0.0,0.1,1.0,2,voxelwise_rft
0.0,0.0,0.1,1.25,2,voxelwise_rft
0.05,0.0,0.1,1.5,2,voxelwise_rft
0.05,0.0,0.1,1.75,2,voxelwise_rft
0.0,0.0,0.1,2.0,2,voxelwise_rft
0.0,0.0,0.1,2.25,2,voxelwise_rft
0.05,0.0004424778761061947,0.1,2.5,2,voxelwise_rft
0.05,0.0,0.1,2.75,2,voxelwise_rft
0.05,0.0004424778761061947,0.1,3.0,2,voxelwise_rft
0.05,0.00302013422818792,0.25,0.0,2,voxelwise_rft
0.05,0.0,0.25,0.1,2,voxelwise_rft
0.05,0.0,0.25,0.25,2,voxelwise_rft
0.1,0.0,0.25,0.5,2,voxelwise_rft
0.15,0.001006711409395973,0.25,0.75,2,voxelwise_rft
0.3,0.0006711409395973154,0.25,1.0,2,voxelwise_rft
0.05,0.0,0.25,1.25,2,voxelwise_rft
0.0,0.0,0.25,1.5,2,voxelwise_rft
0.05,0.0,0.25,1.75,2,voxelwise_rft
0.05,0.0,0.25,2.0,2,voxelwise_rft
0.0,0.0,0.25,2.25,2,voxelwise_rft
0.0,0.0,0.25,2.5,2,voxelwise_rft
