fwer,sensitivity,sm_sigma,snr,n,method
0.11066666666666666,0.00033267845448592013,1.5,0.0,2,voxelwise_rft
0.12,0.0013935821872953504,1.5,0.1,2,voxelwise_rft
0.09866666666666667,0.0006234446627373936,1.5,0.25,2,voxelwise_rft
0.11733333333333333,0.0009430255402750491,1.5,0.5,2,voxelwise_rft
0.11466666666666667,0.001288801571709234,1.5,0.75,2,voxelwise_rft
0.10933333333333334,0.0015166994106090373,1.5,1.0,2,voxelwise_rft
0.1,0.0013071381794368042,1.5,1.25,2,voxelwise_rft
0.1,0.001600523903077931,1.5,1.5,2,voxelwise_rft
0.10666666666666667,0.002412573673870334,1.5,1.75,2,voxelwise_rft
0.10666666666666667,0.0015481335952848723,1.5,2.0,2,voxelwise_rft
0.10266666666666667,0.0013280943025540273,1.5,2.25,2,voxelwise_rft
0.12266666666666666,0.0009849377865094955,1.5,2.5,2,voxelwise_rft
0.09466666666666666,0.0008618205631958088,1.5,2.75,2,voxelwise_rft
0.128,0.006506876227897838,1.5,3.0,2,voxelwise_rft
0.06133333333333333,2.0956123117223312e-05,1.5,0.0,5,voxelwise_rft
0.08266666666666667,0.00013359528487229863,1.5,0.1,5,voxelwise_rft
0.07466666666666667,0.00014407334643091026,1.5,0.25,5,voxelwise_rft
0.06266666666666666,0.001039947609692207,1.5,0.5,5,voxelwise_rft
0.07066666666666667,0.004880157170923379,1.5,0.75,5,voxelwise_rft
0.07466666666666667,0.011620170268500327,1.5,1.0,5,voxelwise_rft
0.068,0.02447675180091683,1.5,1.25,5,voxelwise_rft
0.06933333333333333,0.0433215455140799,1.5,1.5,5,voxelwise_rft
0.06666666666666667,0.06490897184020955,1.5,1.75,5,voxelwise_rft
0.07466666666666667,0.08869155206286837,1.5,2.0,5,voxelwise_rft
0.06933333333333333,0.11168041912246235,1.5,2.25,5,voxelwise_rft
0.06533333333333333,0.13521152586771445,1.5,2.5,5,voxelwise_rft
0.07333333333333333,0.15575900458415193,1.5,2.75,5,voxelwise_rft
0.068,0.17603405370006553,1.5,3.0,5,voxelwise_rft
0.048,2.3575638506876227e-05,1.5,0.0,7,voxelwise_rft
0.064,7.596594629993451e-05,1.5,0.1,7,voxelwise_rft
0.064,0.0006836935166994106,1.5,0.25,7,voxelwise_rft
0.06,0.011355599214145383,1.5,0.5,7,voxelwise_rft
0.05733333333333333,0.05075573018991487,1.5,0.75,7,voxelwise_rft
0.06266666666666666,0.1071591355599214,1.5,1.0,7,voxelwise_rft
0.068,0.16163457760314343,1.5,1.25,7,voxelwise_rft
0.08533333333333333,0.19390962671905698,1.5,1.5,7,voxelwise_rft
0.06666666666666667,0.21831827111984284,1.5,1.75,7,voxelwise_rft
0.07066666666666667,0.2358375900458415,1.5,2.0,7,voxelwise_rft
0.056,0.24953765553372625,1.5,2.25,7,voxelwise_rft
0.04933333333333333,0.2622999345121153,1.5,2.5,7,voxelwise_rft
0.076,0.2730923379174853,1.5,2.75,7,voxelwise_rft
0.068,0.28178912901113295,1.5,3.0,7,voxelwise_rft
0.05333333333333334,2.3575638506876227e-05,1.5,0.0,10,voxelwise_rft
0.050666666666666665,9.954158480681073e-05,1.5,0.1,10,voxelwise_rft
0.05466666666666667,0.003929273084479371,1.5,0.25,10,voxelwise_rft
0.048,0.07533988212180746,1.5,0.5,10,voxelwise_rft
0.042666666666666665,0.1718480681074001,1.5,0.75,10,voxelwise_rft
0.05733333333333333,0.21707924034053697,1.5,1.0,10,voxelwise_rft
0.05333333333333334,0.24614014407334647,1.5,1.25,10,voxelwise_rft
0.042666666666666665,0.2675232481990832,1.5,1.5,10,voxelwise_rft
0.05333333333333334,0.28298362802881466,1.5,1.75,10,voxelwise_rft
0.05333333333333334,0.29633005893909625,1.5,2.0,10,voxelwise_rft
0.04533333333333334,0.3072220039292731,1.5,2.25,10,voxelwise_rft
0.06,0.3180013097576948,1.5,2.5,10,voxelwise_rft
0.04666666666666667,0.3282619515389653,1.5,2.75,10,voxelwise_rft
0.05466666666666667,0.33699803536345774,1.5,3.0,10,voxelwise_rft
0.04533333333333334,1.8336607727570398e-05,1.5,0.0,15,voxelwise_rft
0.052,0.0003091028159790439,1.5,0.1,15,voxelwise_rft
0.06266666666666666,0.028015717092337918,1.5,0.25,15,voxelwise_rft
0.048,0.1799109364767518,1.5,0.5,15,voxelwise_rft
0.048,0.23807203667321544,1.5,0.75,15,voxelwise_rft
0.044,0.2716332678454486,1.5,1.0,15,voxelwise_rft
0.04666666666666667,0.2932102161100197,1.5,1.25,15,voxelwise_rft
0.05466666666666667,0.31111722331368696,1.5,1.5,15,voxelwise_rft
0.05466666666666667,0.32744204322200393,1.5,1.75,15,voxelwise_rft
0.052,0.34070988867059593,1.5,2.0,15,voxelwise_rft
0.03866666666666667,0.3508971840209561,1.5,2.25,15,voxelwise_rft
0.04133333333333333,0.359177472167649,1.5,2.5,15,voxelwise_rft
0.04133333333333333,0.3652914210870989,1.5,2.75,15,voxelwise_rft
0.050666666666666665,0.3724296005239031,1.5,3.0,15,voxelwise_rft
0.04933333333333333,3.1434184675834965e-05,1.5,0.0,20,voxelwise_rft
0.025333333333333333,0.0008932547478716436,1.5,0.1,20,voxelwise_rft
0.04133333333333333,0.07373149967256057,1.5,0.25,20,voxelwise_rft
0.04,0.21813228552717745,1.5,0.5,20,voxelwise_rft
0.06266666666666666,0.26759659462999347,1.5,0.75,20,voxelwise_rft
0.03333333333333333,0.2951905697445973,1.5,1.0,20,voxelwise_rft
0.03866666666666667,0.3184649639816634,1.5,1.25,20,voxelwise_rft
0.05333333333333334,0.3372180746561886,1.5,1.5,20,voxelwise_rft
0.037333333333333336,0.35062999345121154,1.5,1.75,20,voxelwise_rft
0.04533333333333334,0.36071774721676486,1.5,2.0,20,voxelwise_rft
0.037333333333333336,0.368943025540275,1.5,2.25,20,voxelwise_rft
0.04,0.377275703994761,1.5,2.5,20,voxelwise_rft
0.03866666666666667,0.38499279633267847,1.5,2.75,20,voxelwise_rft
0.052,0.392128356254093,1.5,3.0,20,voxelwise_rft
0.042666666666666665,1.0478061558611656e-05,1.5,0.0,30,voxelwise_rft
0.029333333333333333,0.004,1.5,0.1,30,voxelwise_rft
0.036,0.1513870333988212,1.5,0.25,30,voxelwise_rft
0.034666666666666665,0.2559947609692207,1.5,0.5,30,voxelwise_rft
0.036,0.2970399476096922,1.5,0.75,30,voxelwise_rft
0.04933333333333333,0.3258048461034709,1.5,1.0,30,voxelwise_rft
0.04933333333333333,0.3479711853307138,1.5,1.25,30,voxelwise_rft
0.029333333333333333,0.3610870988867059,1.5,1.5,30,voxelwise_rft
0.05466666666666667,0.37256843483955465,1.5,1.75,30,voxelwise_rft
0.024,0.38325081859855936,1.5,2.0,30,voxelwise_rft
0.03866666666666667,0.39267583497053044,1.5,2.25,30,voxelwise_rft
0.04,0.4020353634577603,1.5,2.5,30,voxelwise_rft
0.034666666666666665,0.41044662737393584,1.5,2.75,30,voxelwise_rft
0.030666666666666665,0.4185121152586772,1.5,3.0,30,voxelwise_rft
0.03333333333333333,2.3575638506876227e-05,1.5,0.0,45,voxelwise_rft
0.032,0.014690242305173542,1.5,0.1,45,voxelwise_rft
0.04933333333333333,0.19975638506876225,1.5,0.25,45,voxelwise_rft
0.044,0.2839764243614931,1.5,0.5,45,voxelwise_rft
0.025333333333333333,0.32371971185330717,1.5,0.75,45,voxelwise_rft
0.042666666666666665,0.350928618205632,1.5,1.0,45,voxelwise_rft
0.032,0.3670255402750491,1.5,1.25,45,voxelwise_rft
0.04666666666666667,0.38107138179436806,1.5,1.5,45,voxelwise_rft
0.03866666666666667,0.3939148657498363,1.5,1.75,45,voxelwise_rft
0.030666666666666665,0.40558480681073994,1.5,2.0,45,voxelwise_rft
0.044,0.4157013752455796,1.5,2.25,45,voxelwise_rft
0.04,0.4251971185330714,1.5,2.5,45,voxelwise_rft
0.036,0.4328801571709234,1.5,2.75,45,voxelwise_rft
0.034666666666666665,0.4392403405370007,1.5,3.0,45,voxelwise_rft
0.044,4.1912246234446625e-05,1.5,0.0,60,voxelwise_rft
0.042666666666666665,0.03577996070726915,1.5,0.1,60,voxelwise_rft
0.04533333333333334,0.22357825802226589,1.5,0.25,60,voxelwise_rft
0.032,0.2988316961362148,1.5,0.5,60,voxelwise_rft
0.044,0.34145383104125737,1.5,0.75,60,voxelwise_rft
0.04933333333333333,0.3636856581532416,1.5,1.0,60,voxelwise_rft
0.034666666666666665,0.380324819908317,1.5,1.25,60,voxelwise_rft
0.04666666666666667,0.39547871643745913,1.5,1.5,60,voxelwise_rft
0.037333333333333336,0.40851866404715126,1.5,1.75,60,voxelwise_rft
0.02266666666666667,0.4205003274394237,1.5,2.0,60,voxelwise_rft
0.034666666666666665,0.4305933202357564,1.5,2.25,60,voxelwise_rft
0.030666666666666665,0.4380144073346431,1.5,2.5,60,voxelwise_rft
0.037333333333333336,0.44530451866404713,1.5,2.75,60,voxelwise_rft
0.036,0.4518742632612966,1.5,3.0,60,voxelwise_rft
