fwer,sensitivity,sm_sigma,snr,n,method
0.058666666666666666,0.0006135693215339234,0.1,0.0,2,voxelwise_rft
0.04533333333333334,0.0005545722713864307,0.1,0.1,2,voxelwise_rft
0.06933333333333333,0.00025958702064896754,0.1,0.25,2,voxelwise_rft
0.06933333333333333,0.0013215339233038348,0.1,0.5,2,voxelwise_rft
0.07466666666666667,0.000896755162241888,0.1,0.75,2,voxelwise_rft
0.06533333333333333,0.000849557522123894,0.1,1.0,2,voxelwise_rft
0.07066666666666667,0.002466076696165192,0.1,1.25,2,voxelwise_rft
0.068,0.0007787610619469027,0.1,1.5,2,voxelwise_rft
0.07866666666666666,0.0017581120943952803,0.1,1.75,2,voxelwise_rft
0.06933333333333333,0.0012743362831858407,0.1,2.0,2,voxelwise_rft
0.058666666666666666,0.0018525073746312687,0.1,2.25,2,voxelwise_rft
0.056,0.003398230088495576,0.1,2.5,2,voxelwise_rft
0.07333333333333333,0.006843657817109145,0.1,2.75,2,voxelwise_rft
0.05466666666666667,0.0025250737463126845,0.1,3.0,2,voxelwise_rft
0.016,0.000448377581120944,0.1,0.0,5,voxelwise_rft
0.013333333333333334,1.1799410029498525e-05,0.1,0.1,5,voxelwise_rft
0.013333333333333334,5.899705014749262e-05,0.1,0.25,5,voxelwise_rft
0.016,0.00033038348082595876,0.1,0.5,5,voxelwise_rft
0.010666666666666666,0.00016519174041297935,0.1,0.75,5,voxelwise_rft
0.010666666666666666,0.001168141592920354,0.1,1.0,5,voxelwise_rft
0.008,0.0015221238938053097,0.1,1.25,5,voxelwise_rft
0.009333333333333334,8.259587020648968e-05,0.1,1.5,5,voxelwise_rft
0.009333333333333334,0.0002359882005899705,0.1,1.75,5,voxelwise_rft
0.009333333333333334,0.0028436578171091445,0.1,2.0,5,voxelwise_rft
0.013333333333333334,0.0011917404129793512,0.1,2.25,5,voxelwise_rft
0.012,0.0011327433628318584,0.1,2.5,5,voxelwise_rft
0.012,0.002359882005899705,0.1,2.75,5,voxelwise_rft
0.009333333333333334,0.004283185840707964,0.1,3.0,5,voxelwise_rft
0.012,0.0,0.1,0.0,7,voxelwise_rft
0.008,0.00012979351032448377,0.1,0.1,7,voxelwise_rft
0.008,7.079646017699115e-05,0.1,0.25,7,voxelwise_rft
0.006666666666666667,2.359882005899705e-05,0.1,0.5,7,voxelwise_rft
0.009333333333333334,7.079646017699115e-05,0.1,0.75,7,voxelwise_rft
0.008,5.899705014749262e-05,0.1,1.0,7,voxelwise_rft
0.006666666666666667,0.0005191740412979351,0.1,1.25,7,voxelwise_rft
0.009333333333333334,0.0009793510324483776,0.1,1.5,7,voxelwise_rft
0.005333333333333333,0.0019351032448377582,0.1,1.75,7,voxelwise_rft
0.006666666666666667,0.0033864306784660765,0.1,2.0,7,voxelwise_rft
0.010666666666666666,0.006418879056047198,0.1,2.25,7,voxelwise_rft
0.010666666666666666,0.012578171091445427,0.1,2.5,7,voxelwise_rft
0.009333333333333334,0.01623598820058997,0.1,2.75,7,voxelwise_rft
0.010666666666666666,0.02686725663716814,0.1,3.0,7,voxelwise_rft
0.0026666666666666666,0.0,0.1,0.0,10,voxelwise_rft
0.012,0.0,0.1,0.1,10,voxelwise_rft
0.008,2.359882005899705e-05,0.1,0.25,10,voxelwise_rft
0.006666666666666667,4.71976401179941e-05,0.1,0.5,10,voxelwise_rft
0.013333333333333334,0.0002949852507374631,0.1,0.75,10,voxelwise_rft
0.006666666666666667,0.0011799410029498525,0.1,1.0,10,voxelwise_rft
0.012,0.004094395280235989,0.1,1.25,10,voxelwise_rft
0.009333333333333334,0.011811209439528023,0.1,1.5,10,voxelwise_rft
0.006666666666666667,0.027728613569321534,0.1,1.75,10,voxelwise_rft
0.010666666666666666,0.055433628318584074,0.1,2.0,10,voxelwise_rft
0.005333333333333333,0.10460176991150441,0.1,2.25,10,voxelwise_rft
0.012,0.17492625368731562,0.1,2.5,10,voxelwise_rft
0.010666666666666666,0.263716814159292,0.1,2.75,10,voxelwise_rft
0.005333333333333333,0.37031268436578163,0.1,3.0,10,voxelwise_rft
0.010666666666666666,0.0,0.1,0.0,15,voxelwise_rft
0.009333333333333334,0.0,0.1,0.1,15,voxelwise_rft
0.010666666666666666,2.359882005899705e-05,0.1,0.25,15,voxelwise_rft
0.005333333333333333,0.0003539823008849557,0.1,0.5,15,voxelwise_rft
0.006666666666666667,0.002525073746312684,0.1,0.75,15,voxelwise_rft
0.008,0.013474926253687318,0.1,1.0,15,voxelwise_rft
0.006666666666666667,0.05412389380530973,0.1,1.25,15,voxelwise_rft
0.013333333333333334,0.15260176991150443,0.1,1.5,15,voxelwise_rft
0.012,0.3225486725663717,0.1,1.75,15,voxelwise_rft
0.005333333333333333,0.5340176991150443,0.1,2.0,15,voxelwise_rft
0.008,0.7380176991150442,0.1,2.25,15,voxelwise_rft
0.008,0.8782536873156341,0.1,2.5,15,voxelwise_rft
0.0026666666666666666,0.9531917404129793,0.1,2.75,15,voxelwise_rft
0.0013333333333333333,0.9862182890855457,0.1,3.0,15,voxelwise_rft
0.013333333333333334,0.0,0.1,0.0,20,voxelwise_rft
0.008,1.1799410029498525e-05,0.1,0.1,20,voxelwise_rft
0.006666666666666667,3.5398230088495574e-05,0.1,0.25,20,voxelwise_rft
0.005333333333333333,0.0009085545722713863,0.1,0.5,20,voxelwise_rft
0.004,0.011174041297935103,0.1,0.75,20,voxelwise_rft
0.0026666666666666666,0.06847197640117994,0.1,1.0,20,voxelwise_rft
0.006666666666666667,0.23800589970501476,0.1,1.25,20,voxelwise_rft
0.004,0.5238702064896755,0.1,1.5,20,voxelwise_rft
0.0026666666666666666,0.7900530973451327,0.1,1.75,20,voxelwise_rft
0.006666666666666667,0.9397050147492625,0.1,2.0,20,voxelwise_rft
0.008,0.9884955752212388,0.1,2.25,20,voxelwise_rft
0.009333333333333334,0.9986666666666667,0.1,2.5,20,voxelwise_rft
0.010666666666666666,0.999858407079646,0.1,2.75,20,voxelwise_rft
0.005333333333333333,1.0,0.1,3.0,20,voxelwise_rft
0.005333333333333333,0.0,0.1,0.0,30,voxelwise_rft
0.009333333333333334,0.0,0.1,0.1,30,voxelwise_rft
0.009333333333333334,0.0001887905604719764,0.1,0.25,30,voxelwise_rft
0.004,0.006135693215339233,0.1,0.5,30,voxelwise_rft
0.004,0.08161651917404128,0.1,0.75,30,voxelwise_rft
0.005333333333333333,0.3812625368731563,0.1,1.0,30,voxelwise_rft
0.006666666666666667,0.783457227138643,0.1,1.25,30,voxelwise_rft
0.005333333333333333,0.9672212389380531,0.1,1.5,30,voxelwise_rft
0.004,0.9982064896755162,0.1,1.75,30,voxelwise_rft
0.008,0.9999174041297935,0.1,2.0,30,voxelwise_rft
0.008,1.0,0.1,2.25,30,voxelwise_rft
0.013333333333333334,1.0,0.1,2.5,30,voxelwise_rft
0.005333333333333333,1.0,0.1,2.75,30,voxelwise_rft
0.014666666666666666,1.0,0.1,3.0,30,voxelwise_rft
0.012,0.0,0.1,0.0,45,voxelwise_rft
0.006666666666666667,0.0,0.1,0.1,45,voxelwise_rft
0.010666666666666666,0.0005545722713864306,0.1,0.25,45,voxelwise_rft
0.004,0.03535103244837758,0.1,0.5,45,voxelwise_rft
0.009333333333333334,0.36663126843657823,0.1,0.75,45,voxelwise_rft
0.005333333333333333,0.8629616519174041,0.1,1.0,45,voxelwise_rft
0.009333333333333334,0.9944542772861357,0.1,1.25,45,voxelwise_rft
0.006666666666666667,0.999952802359882,0.1,1.5,45,voxelwise_rft
0.010666666666666666,1.0,0.1,1.75,45,voxelwise_rft
0.006666666666666667,1.0,0.1,2.0,45,voxelwise_rft
0.0026666666666666666,1.0,0.1,2.25,45,voxelwise_rft
0.008,1.0,0.1,2.5,45,voxelwise_rft
0.008,1.0,0.1,2.75,45,voxelwise_rft
0.005333333333333333,1.0,0.1,3.0,45,voxelwise_rft
0.005333333333333333,0.0,0.1,0.0,60,voxelwise_rft
0.005333333333333333,3.5398230088495574e-05,0.1,0.1,60,voxelwise_rft
0.008,0.0014513274336283187,0.1,0.25,60,voxelwise_rft
0.008,0.10867256637168142,0.1,0.5,60,voxelwise_rft
0.008,0.695905604719764,0.1,0.75,60,voxelwise_rft
0.006666666666666667,0.9877286135693215,0.1,1.0,60,voxelwise_rft
0.006666666666666667,0.9999646017699115,0.1,1.25,60,voxelwise_rft
0.0013333333333333333,1.0,0.1,1.5,60,voxelwise_rft
0.012,1.0,0.1,1.75,60,voxelwise_rft
0.010666666666666666,1.0,0.1,2.0,60,voxelwise_rft
0.016,1.0,0.1,2.25,60,voxelwise_rft
0.004,1.0,0.1,2.5,60,voxelwise_rft
0.008,1.0,0.1,2.75,60,voxelwise_rft
0.005333333333333333,1.0,0.1,3.0,60,voxelwise_rft
