fwer,sensitivity,sm_sigma,snr,n,method,u_crit
0.0226666666666666,0.0,0.0,0.0,2,voxelwise_rft,4.502623379305938
0.0173333333333333,0.0,0.0,0.1,2,voxelwise_rft,4.502623379305938
0.024,1.1799410029498524e-05,0.0,0.25,2,voxelwise_rft,4.502623379305938
0.0173333333333333,0.0,0.0,0.5,2,voxelwise_rft,4.502623379305938
0.0253333333333333,0.0,0.0,0.75,2,voxelwise_rft,4.502623379305938
0.0413333333333333,1.1799410029498524e-05,0.0,1.0,2,voxelwise_rft,4.502623379305938
0.0293333333333333,1.1799410029498524e-05,0.0,1.25,2,voxelwise_rft,4.502623379305938
0.02,2.359882005899705e-05,0.0,1.5,2,voxelwise_rft,4.502623379305938
0.0226666666666666,2.359882005899705e-05,0.0,1.75,2,voxelwise_rft,4.502623379305938
0.024,2.359882005899705e-05,0.0,2.0,2,voxelwise_rft,4.502623379305938
0.0253333333333333,2.359882005899705e-05,0.0,2.25,2,voxelwise_rft,4.502623379305938
0.016,2.359882005899705e-05,0.0,2.5,2,voxelwise_rft,4.502623379305938
0.024,3.5398230088495574e-05,0.0,2.75,2,voxelwise_rft,4.502623379305938
0.036,1.1799410029498524e-05,0.0,3.0,2,voxelwise_rft,4.502623379305938
0.0266666666666666,0.0,0.1,0.0,2,voxelwise_rft,4.503141791507842
0.0186666666666666,0.0,0.1,0.1,2,voxelwise_rft,4.503141791507842
0.0333333333333333,0.0,0.1,0.25,2,voxelwise_rft,4.503141791507842
0.0306666666666666,0.0,0.1,0.5,2,voxelwise_rft,4.503141791507842
0.0186666666666666,1.1799410029498524e-05,0.1,0.75,2,voxelwise_rft,4.503141791507842
0.0293333333333333,3.5398230088495574e-05,0.1,1.0,2,voxelwise_rft,4.503141791507842
0.0333333333333333,0.0,0.1,1.25,2,voxelwise_rft,4.503141791507842
0.024,0.0,0.1,1.5,2,voxelwise_rft,4.503141791507842
0.02,0.0,0.1,1.75,2,voxelwise_rft,4.503141791507842
0.0293333333333333,1.1799410029498524e-05,0.1,2.0,2,voxelwise_rft,4.503141791507842
0.032,2.359882005899705e-05,0.1,2.25,2,voxelwise_rft,4.503141791507842
0.0173333333333333,2.359882005899705e-05,0.1,2.5,2,voxelwise_rft,4.503141791507842
0.0293333333333333,3.5398230088495574e-05,0.1,2.75,2,voxelwise_rft,4.503141791507842
0.0306666666666666,1.1799410029498524e-05,0.1,3.0,2,voxelwise_rft,4.503141791507842
0.0146666666666666,8.948545861297538e-06,0.25,0.0,2,voxelwise_rft,4.503541499391493
0.028,8.948545861297538e-06,0.25,0.1,2,voxelwise_rft,4.503541499391493
0.0266666666666666,8.948545861297538e-06,0.25,0.25,2,voxelwise_rft,4.503541499391493
0.0306666666666666,0.0,0.25,0.5,2,voxelwise_rft,4.503541499391493
0.0253333333333333,2.684563758389261e-05,0.25,0.75,2,voxelwise_rft,4.503541499391493
0.0226666666666666,8.948545861297538e-06,0.25,1.0,2,voxelwise_rft,4.503541499391493
0.0266666666666666,0.0,0.25,1.25,2,voxelwise_rft,4.503541499391493
0.028,8.948545861297538e-06,0.25,1.5,2,voxelwise_rft,4.503541499391493
0.016,1.7897091722595077e-05,0.25,1.75,2,voxelwise_rft,4.503541499391493
0.016,1.7897091722595077e-05,0.25,2.0,2,voxelwise_rft,4.503541499391493
0.0213333333333333,8.948545861297538e-06,0.25,2.25,2,voxelwise_rft,4.503541499391493
0.0253333333333333,1.7897091722595077e-05,0.25,2.5,2,voxelwise_rft,4.503541499391493
0.0173333333333333,8.948545861297538e-06,0.25,2.75,2,voxelwise_rft,4.503541499391493
0.0173333333333333,5.369127516778523e-05,0.25,3.0,2,voxelwise_rft,4.503541499391493
0.0253333333333333,0.0,0.5,0.0,2,voxelwise_rft,4.483508419489315
0.0346666666666666,1.2519561815336464e-05,0.5,0.1,2,voxelwise_rft,4.483508419489315
0.028,0.0,0.5,0.25,2,voxelwise_rft,4.483508419489315
0.0346666666666666,0.0,0.5,0.5,2,voxelwise_rft,4.483508419489315
0.0226666666666666,0.0,0.5,0.75,2,voxelwise_rft,4.483508419489315
0.028,6.259780907668232e-06,0.5,1.0,2,voxelwise_rft,4.483508419489315
0.0253333333333333,1.2519561815336464e-05,0.5,1.25,2,voxelwise_rft,4.483508419489315
0.0346666666666666,2.5039123630672928e-05,0.5,1.5,2,voxelwise_rft,4.483508419489315
0.0186666666666666,1.877934272300469e-05,0.5,1.75,2,voxelwise_rft,4.483508419489315
0.0133333333333333,3.755868544600939e-05,0.5,2.0,2,voxelwise_rft,4.483508419489315
0.0213333333333333,6.259780907668232e-06,0.5,2.25,2,voxelwise_rft,4.483508419489315
0.0213333333333333,1.2519561815336464e-05,0.5,2.5,2,voxelwise_rft,4.483508419489315
0.016,2.5039123630672928e-05,0.5,2.75,2,voxelwise_rft,4.483508419489315
0.0213333333333333,4.3818466353677626e-05,0.5,3.0,2,voxelwise_rft,4.483508419489315
0.0453333333333333,4.678362573099415e-06,0.75,0.0,2,voxelwise_rft,4.372337065985718
0.056,9.35672514619883e-06,0.75,0.1,2,voxelwise_rft,4.372337065985718
0.0413333333333333,1.4035087719298246e-05,0.75,0.25,2,voxelwise_rft,4.372337065985718
0.0386666666666666,2.3391812865497078e-05,0.75,0.5,2,voxelwise_rft,4.372337065985718
0.04,3.274853801169591e-05,0.75,0.75,2,voxelwise_rft,4.372337065985718
0.0493333333333333,3.742690058479532e-05,0.75,1.0,2,voxelwise_rft,4.372337065985718
0.0426666666666666,2.807017543859649e-05,0.75,1.25,2,voxelwise_rft,4.372337065985718
0.0293333333333333,6.08187134502924e-05,0.75,1.5,2,voxelwise_rft,4.372337065985718
0.0453333333333333,7.953216374269004e-05,0.75,1.75,2,voxelwise_rft,4.372337065985718
0.044,2.807017543859649e-05,0.75,2.0,2,voxelwise_rft,4.372337065985718
0.0453333333333333,7.953216374269006e-05,0.75,2.25,2,voxelwise_rft,4.372337065985718
0.044,6.549707602339182e-05,0.75,2.5,2,voxelwise_rft,4.372337065985718
0.0413333333333333,9.35672514619883e-05,0.75,2.75,2,voxelwise_rft,4.372337065985718
0.0426666666666666,7.485380116959064e-05,0.75,3.0,2,voxelwise_rft,4.372337065985718
0.072,3.056351480420248e-05,1.0,0.0,2,voxelwise_rft,4.265300681392814
0.072,7.64087870105062e-06,1.0,0.1,2,voxelwise_rft,4.265300681392814
0.0706666666666666,4.584527220630373e-05,1.0,0.25,2,voxelwise_rft,4.265300681392814
0.0693333333333333,1.528175740210124e-05,1.0,0.5,2,voxelwise_rft,4.265300681392814
0.0666666666666666,4.966571155682903e-05,1.0,0.75,2,voxelwise_rft,4.265300681392814
0.056,3.438395415472779e-05,1.0,1.0,2,voxelwise_rft,4.265300681392814
0.064,2.6743075453677172e-05,1.0,1.25,2,voxelwise_rft,4.265300681392814
0.0733333333333333,4.966571155682903e-05,1.0,1.5,2,voxelwise_rft,4.265300681392814
0.0653333333333333,7.640878701050621e-05,1.0,1.75,2,voxelwise_rft,4.265300681392814
0.0733333333333333,0.0001107927411652,1.0,2.0,2,voxelwise_rft,4.265300681392814
0.064,0.0001146131805157,1.0,2.25,2,voxelwise_rft,4.265300681392814
0.056,9.933142311365808e-05,1.0,2.5,2,voxelwise_rft,4.265300681392814
0.0533333333333333,0.0001298949379178,1.0,2.75,2,voxelwise_rft,4.265300681392814
0.0626666666666666,0.0001222540592168,1.0,3.0,2,voxelwise_rft,4.265300681392814
0.0946666666666666,3.7296037296037295e-05,1.25,0.0,2,voxelwise_rft,4.172009557286839
0.0933333333333333,3.4188034188034184e-05,1.25,0.1,2,voxelwise_rft,4.172009557286839
0.1,4.351204351204352e-05,1.25,0.25,2,voxelwise_rft,4.172009557286839
0.1053333333333333,5.283605283605284e-05,1.25,0.5,2,voxelwise_rft,4.172009557286839
0.0986666666666666,5.5944055944055945e-05,1.25,0.75,2,voxelwise_rft,4.172009557286839
0.1106666666666666,7.148407148407149e-05,1.25,1.0,2,voxelwise_rft,4.172009557286839
0.0813333333333333,9.634809634809634e-05,1.25,1.25,2,voxelwise_rft,4.172009557286839
0.0986666666666666,0.0001181041181041,1.25,1.5,2,voxelwise_rft,4.172009557286839
0.12,0.0001274281274281,1.25,1.75,2,voxelwise_rft,4.172009557286839
0.1106666666666666,0.0001367521367521,1.25,2.0,2,voxelwise_rft,4.172009557286839
0.096,0.0001336441336441,1.25,2.25,2,voxelwise_rft,4.172009557286839
0.0986666666666666,0.0001678321678321,1.25,2.5,2,voxelwise_rft,4.172009557286839
0.1013333333333333,0.0001647241647241,1.25,2.75,2,voxelwise_rft,4.172009557286839
0.0973333333333333,0.0002548562548562,1.25,3.0,2,voxelwise_rft,4.172009557286839
0.1413333333333333,1.3097576948264568e-05,1.5,0.0,2,voxelwise_rft,4.089450185210059
0.1493333333333333,4.7151277013752455e-05,1.5,0.1,2,voxelwise_rft,4.089450185210059
0.116,3.92927308447937e-05,1.5,0.25,2,voxelwise_rft,4.089450185210059
0.1413333333333333,4.977079240340536e-05,1.5,0.5,2,voxelwise_rft,4.089450185210059
0.156,0.0001021611001964,1.5,0.75,2,voxelwise_rft,4.089450185210059
0.1346666666666666,0.000112639161755,1.5,1.0,2,voxelwise_rft,4.089450185210059
0.1106666666666666,0.000172888015717,1.5,1.25,2,voxelwise_rft,4.089450185210059
0.1346666666666666,0.0001466928618205,1.5,1.5,2,voxelwise_rft,4.089450185210059
0.1466666666666666,0.0001440733464309,1.5,1.75,2,voxelwise_rft,4.089450185210059
0.136,0.0001990831696136,1.5,2.0,2,voxelwise_rft,4.089450185210059
0.1413333333333333,0.0002540929927963,1.5,2.25,2,voxelwise_rft,4.089450185210059
0.1573333333333333,0.0002645710543549,1.5,2.5,2,voxelwise_rft,4.089450185210059
0.1386666666666666,0.0002357563850687,1.5,2.75,2,voxelwise_rft,4.089450185210059
0.18,0.0002750491159135,1.5,3.0,2,voxelwise_rft,4.089450185210059
0.1933333333333333,7.272727272727273e-05,1.75,0.0,2,voxelwise_rft,4.016539390431617
0.2093333333333333,6.611570247933885e-05,1.75,0.1,2,voxelwise_rft,4.016539390431617
0.1706666666666666,7.493112947658401e-05,1.75,0.25,2,voxelwise_rft,4.016539390431617
0.168,9.476584022038566e-05,1.75,0.5,2,voxelwise_rft,4.016539390431617
0.176,0.0001454545454545,1.75,0.75,2,voxelwise_rft,4.016539390431617
0.1986666666666666,0.0001344352617079,1.75,1.0,2,voxelwise_rft,4.016539390431617
0.172,0.0001741046831955,1.75,1.25,2,voxelwise_rft,4.016539390431617
0.1573333333333333,0.0002159779614325,1.75,1.5,2,voxelwise_rft,4.016539390431617
0.1493333333333333,0.0002512396694214,1.75,1.75,2,voxelwise_rft,4.016539390431617
0.164,0.0002776859504132,1.75,2.0,2,voxelwise_rft,4.016539390431617
0.1973333333333333,0.0002931129476584,1.75,2.25,2,voxelwise_rft,4.016539390431617
0.1906666666666666,0.0003349862258953,1.75,2.5,2,voxelwise_rft,4.016539390431617
0.176,0.0004275482093663,1.75,2.75,2,voxelwise_rft,4.016539390431617
0.1946666666666666,0.0004495867768595,1.75,3.0,2,voxelwise_rft,4.016539390431617
0.224,7.843137254901961e-05,2.0,0.0,2,voxelwise_rft,3.951397021980138
0.2173333333333333,0.0001071257771401,2.0,0.1,2,voxelwise_rft,3.951397021980138
0.2106666666666666,8.990913438546152e-05,2.0,0.25,2,voxelwise_rft,3.951397021980138
