fwer,sensitivity,sm_sigma,snr,n,method
0.012,5.899705014749262e-05,0.0,0.0,2,voxelwise_rft
0.008,8.259587020648968e-05,0.0,0.1,2,voxelwise_rft
0.0106666666666666,2.359882005899705e-05,0.0,0.25,2,voxelwise_rft
0.012,0.0004601769911504,0.0,0.5,2,voxelwise_rft
0.0093333333333333,0.0008495575221238,0.0,0.75,2,voxelwise_rft
0.0106666666666666,0.0,0.0,1.0,2,voxelwise_rft
0.008,5.899705014749262e-05,0.0,1.25,2,voxelwise_rft
0.008,0.0008613569321533,0.0,1.5,2,voxelwise_rft
0.0066666666666666,0.0003185840707964,0.0,1.75,2,voxelwise_rft
0.0133333333333333,0.0003775811209439,0.0,2.0,2,voxelwise_rft
0.0093333333333333,0.0002123893805309,0.0,2.25,2,voxelwise_rft
0.008,0.0012507374631268,0.0,2.5,2,voxelwise_rft
0.0106666666666666,0.0020648967551622,0.0,2.75,2,voxelwise_rft
0.0106666666666666,0.0015575221238938,0.0,3.0,2,voxelwise_rft
0.0106666666666666,0.0003539823008849,0.1,0.0,2,voxelwise_rft
0.0146666666666666,0.0002949852507374,0.1,0.1,2,voxelwise_rft
0.0066666666666666,0.0004129793510324,0.1,0.25,2,voxelwise_rft
0.02,0.0004011799410029,0.1,0.5,2,voxelwise_rft
0.0093333333333333,0.0005545722713864,0.1,0.75,2,voxelwise_rft
0.0066666666666666,0.0,0.1,1.0,2,voxelwise_rft
0.0066666666666666,0.0,0.1,1.25,2,voxelwise_rft
0.0106666666666666,0.0006489675516224,0.1,1.5,2,voxelwise_rft
0.012,0.0013333333333333,0.1,1.75,2,voxelwise_rft
0.008,0.0012271386430678,0.1,2.0,2,voxelwise_rft
0.0093333333333333,0.0005781710914454,0.1,2.25,2,voxelwise_rft
0.012,0.0026430678466076,0.1,2.5,2,voxelwise_rft
0.016,0.0021356932153392,0.1,2.75,2,voxelwise_rft
0.0106666666666666,0.0017935103244837,0.1,3.0,2,voxelwise_rft
0.0133333333333333,0.0005369127516778,0.25,0.0,2,voxelwise_rft
0.0133333333333333,0.0005906040268456,0.25,0.1,2,voxelwise_rft
0.008,0.0002326621923937,0.25,0.25,2,voxelwise_rft
0.0173333333333333,0.0004563758389261,0.25,0.5,2,voxelwise_rft
0.0053333333333333,4.47427293064877e-05,0.25,0.75,2,voxelwise_rft
0.0133333333333333,0.0009485458612975,0.25,1.0,2,voxelwise_rft
0.0173333333333333,0.0011991051454138,0.25,1.25,2,voxelwise_rft
0.008,4.47427293064877e-05,0.25,1.5,2,voxelwise_rft
0.0106666666666666,0.0004205816554809,0.25,1.75,2,voxelwise_rft
0.0146666666666666,0.0008859060402684,0.25,2.0,2,voxelwise_rft
0.0173333333333333,0.0017628635346756,0.25,2.25,2,voxelwise_rft
0.008,0.0017181208053691,0.25,2.5,2,voxelwise_rft
0.016,0.0010738255033557,0.25,2.75,2,voxelwise_rft
0.0146666666666666,0.0020581655480984,0.25,3.0,2,voxelwise_rft
