fwer,sensitivity,sm_sigma,snr,n,method
0.0,0.0,0.0,0.0,2,voxelwise_rft
0.0,0.0,0.0,0.1,2,voxelwise_rft
0.0,0.0,0.0,0.25,2,voxelwise_rft
0.0,0.0,0.0,0.5,2,voxelwise_rft
0.05,0.0,0.0,0.75,2,voxelwise_rft
0.0,0.0,0.0,1.0,2,voxelwise_rft
0.05,0.0035398230088495575,0.0,1.25,2,voxelwise_rft
0.1,0.0004424778761061947,0.0,1.5,2,voxelwise_rft
0.05,0.0,0.0,1.75,2,voxelwise_rft
0.1,0.0004424778761061947,0.0,2.0,2,voxelwise_rft
0.1,0.0,0.0,2.25,2,voxelwise_rft
0.05,0.0,0.0,2.5,2,voxelwise_rft
0.05,0.0004424778761061947,0.0,2.75,2,voxelwise_rft
0.1,0.030530973451327437,0.0,3.0,2,voxelwise_rft
0.05,0.0,0.1,0.0,2,voxelwise_rft
0.15,0.004424778761061947,0.1,0.1,2,voxelwise_rft
0.05,0.0,0.1,0.25,2,voxelwise_rft
0.1,0.0,0.1,0.5,2,voxelwise_rft
0.1,0.0,0.1,0.75,2,voxelwise_rft
0.05,0.0,0.1,1.0,2,voxelwise_rft
0.2,0.0008849557522123894,0.1,1.25,2,voxelwise_rft
0.1,0.0,0.1,1.5,2,voxelwise_rft
0.0,0.0,0.1,1.75,2,voxelwise_rft
0.05,0.0,0.1,2.0,2,voxelwise_rft
0.05,0.0,0.1,2.25,2,voxelwise_rft
0.05,0.0004424778761061947,0.1,2.5,2,voxelwise_rft
0.0,0.0,0.1,2.75,2,voxelwise_rft
0.05,0.0,0.1,3.0,2,voxelwise_rft
0.05,0.0,0.25,0.0,2,voxelwise_rft
0.1,0.0,0.25,0.1,2,voxelwise_rft
0.0,0.0,0.25,0.25,2,voxelwise_rft
0.1,0.0,0.25,0.5,2,voxelwise_rft
0.1,0.0,0.25,0.75,2,voxelwise_rft
0.0,0.0,0.25,1.0,2,voxelwise_rft
0.1,0.0003355704697986577,0.25,1.25,2,voxelwise_rft
0.0,0.0,0.25,1.5,2,voxelwise_rft
0.05,0.0006711409395973154,0.25,1.75,2,voxelwise_rft
0.1,0.005704697986577181,0.25,2.0,2,voxelwise_rft
0.1,0.0003355704697986577,0.25,2.25,2,voxelwise_rft
